tick;time;time_patch;time_drop;drops
0;0;0.0;0.0;44268
1;405;186.0;218.0;44268
2;542;281.0;260.0;43922
3;486;224.0;262.0;43605
4;512;260.0;252.0;43295
5;467;225.0;242.0;43005
6;456;223.0;233.0;42724
7;473;240.0;233.0;42462
8;474;251.0;223.0;42197
9;476;278.0;198.0;41949
10;523;312.0;211.0;41721
11;478;259.0;219.0;41499
12;496;296.0;200.0;41294
13;487;260.0;227.0;41097
14;548;269.0;279.0;40905
15;561;298.0;263.0;40718
16;539;310.0;229.0;40540
17;526;337.0;189.0;40369
18;527;338.0;189.0;40210
19;554;317.0;237.0;40070
20;529;312.0;217.0;39924
21;518;307.0;211.0;39782
22;474;325.0;149.0;39640
23;483;342.0;141.0;39501
24;555;351.0;204.0;39366
25;528;356.0;172.0;39227
26;477;327.0;150.0;39092
27;497;359.0;138.0;38954
28;497;350.0;147.0;38822
29;523;373.0;150.0;38698
30;476;347.0;129.0;38576
31;511;367.0;144.0;38467
32;486;327.0;158.0;38355
33;476;341.0;135.0;38239
34;519;389.0;130.0;38118
35;486;353.0;133.0;37996
36;526;380.0;146.0;37870
37;511;380.0;131.0;37743
38;508;393.0;114.0;37615
39;505;368.0;137.0;37488
40;473;345.0;128.0;37360
41;463;338.0;125.0;37234
42;483;372.0;111.0;37112
43;524;401.0;123.0;36995
44;491;372.0;119.0;36886
45;509;404.0;105.0;36779
46;557;436.0;121.0;36682
47;499;393.0;106.0;36589
48;467;364.0;103.0;36500
49;449;349.0;100.0;36412
50;512;399.0;113.0;36330
51;482;380.0;102.0;36257
52;510;400.0;110.0;36187
53;485;386.0;99.0;36117
54;501;406.0;95.0;36061
55;522;414.0;108.0;36010
56;523;430.0;93.0;35965
57;519;412.0;107.0;35926
58;478;359.0;119.0;35892
59;486;396.0;89.0;35864
60;506;417.0;89.0;35843
61;508;404.0;104.0;35825
62;480;383.0;97.0;35807
63;546;445.0;100.0;35793
64;494;395.0;99.0;35781
65;481;395.0;86.0;35773
66;543;445.0;98.0;35766
67;535;441.0;94.0;35764
68;1490;1395.0;95.0;35763
69;474;391.0;83.0;35763
70;471;388.0;83.0;35763
71;521;421.0;100.0;35763
72;474;391.0;83.0;35763
73;491;398.0;93.0;35763
74;500;417.0;83.0;35763
75;518;435.0;83.0;35763
76;530;449.0;81.0;35763
77;520;425.0;95.0;35763
78;488;401.0;87.0;35763
79;480;398.0;82.0;35763
80;538;443.0;95.0;35763
81;455;358.0;97.0;35763
82;472;390.0;82.0;35763
83;486;404.0;81.0;35763
84;500;409.0;91.0;35763
85;511;430.0;81.0;35763
86;539;436.0;103.0;35763
87;439;348.0;91.0;35763
88;506;426.0;80.0;35763
89;527;436.0;91.0;35763
90;527;434.0;93.0;35763
91;539;439.0;100.0;35763
92;484;405.0;79.0;35763
93;468;389.0;79.0;35763
94;497;407.0;90.0;35763
95;503;422.0;81.0;35763
96;510;422.0;88.0;35763
97;517;440.0;77.0;35763
98;509;421.0;87.0;35763
99;465;384.0;81.0;35763
100;521;441.0;80.0;35763
101;536;459.0;77.0;35763
102;532;446.0;86.0;35763
103;498;422.0;76.0;35763
104;528;441.0;87.0;35763
105;498;422.0;76.0;35763
106;530;440.0;90.0;35763
107;552;463.0;89.0;35763
108;476;389.0;87.0;35763
109;469;391.0;78.0;35763
110;511;420.0;91.0;35763
111;543;456.0;85.0;35763
112;563;487.0;76.0;35763
113;548;461.0;87.0;35763
114;501;425.0;76.0;35763
115;534;445.0;89.0;35763
116;491;413.0;78.0;35763
117;467;391.0;76.0;35763
118;526;449.0;77.0;35763
119;525;436.0;89.0;35763
120;521;444.0;77.0;35763
121;492;403.0;89.0;35763
122;533;457.0;76.0;35763
123;506;416.0;90.0;35763
124;523;447.0;76.0;35763
125;540;464.0;76.0;35763
126;523;437.0;86.0;35763
127;522;445.0;77.0;35763
128;517;430.0;87.0;35763
129;489;412.0;77.0;35763
130;480;402.0;78.0;35763
131;529;436.0;93.0;35763
132;501;421.0;80.0;35763
133;515;440.0;75.0;35763
134;520;442.0;78.0;35763
135;527;451.0;76.0;35763
136;540;451.0;89.0;35763
137;507;430.0;77.0;35763
138;509;413.0;96.0;35763
139;475;399.0;76.0;35763
140;491;415.0;76.0;35763
141;560;484.0;76.0;35763
142;515;429.0;86.0;35763
143;527;449.0;78.0;35763
144;502;410.0;92.0;35763
145;529;451.0;78.0;35763
146;512;425.0;86.0;35763
147;536;449.0;87.0;35763
148;523;435.0;88.0;35763
149;524;444.0;80.0;35763
150;482;405.0;77.0;35763
151;510;435.0;75.0;35763
152;536;446.0;90.0;35763
153;480;404.0;75.0;35763
154;519;431.0;88.0;35763
155;544;460.0;84.0;35763
156;527;432.0;95.0;35763
