tick;time;time_patch;time_drop;drops
0;0;0.0;0.0;44268
1;434;184.0;249.0;44268
2;661;351.0;310.0;43922
3;465;200.0;265.0;43605
4;805;272.0;533.0;43295
5;513;253.0;260.0;43005
6;510;249.0;261.0;42724
7;515;256.0;259.0;42462
8;508;249.0;259.0;42197
9;585;301.0;284.0;41949
10;624;318.0;306.0;41721
11;624;343.0;281.0;41499
12;487;266.0;221.0;41294
13;463;270.0;193.0;41097
14;442;256.0;186.0;40905
15;466;283.0;183.0;40718
16;473;283.0;190.0;40540
17;455;278.0;176.0;40369
18;491;327.0;164.0;40210
19;498;328.0;169.0;40070
20;476;310.0;166.0;39924
21;463;298.0;165.0;39782
22;458;292.0;166.0;39640
23;469;328.0;141.0;39501
24;548;391.0;157.0;39366
25;473;318.0;155.0;39227
26;502;367.0;135.0;39092
27;539;387.0;152.0;38954
28;501;370.0;131.0;38822
29;494;362.0;132.0;38698
30;475;331.0;144.0;38576
31;446;307.0;139.0;38467
32;498;361.0;137.0;38355
33;499;375.0;124.0;38239
34;476;351.0;125.0;38118
35;508;377.0;131.0;37996
36;470;334.0;136.0;37870
37;500;376.0;124.0;37743
38;529;398.0;131.0;37615
39;493;381.0;112.0;37488
40;526;390.0;136.0;37360
41;463;336.0;127.0;37234
42;490;380.0;110.0;37112
43;528;408.0;120.0;36995
44;510;403.0;107.0;36886
45;486;382.0;104.0;36779
46;527;409.0;118.0;36682
47;525;422.0;103.0;36589
48;484;369.0;115.0;36500
49;477;362.0;115.0;36412
50;488;387.0;101.0;36330
51;487;388.0;99.0;36257
52;508;393.0;115.0;36187
53;507;411.0;96.0;36117
54;555;441.0;114.0;36061
55;464;358.0;106.0;36010
56;594;463.0;131.0;35965
57;596;452.0;144.0;35926
58;507;398.0;109.0;35892
59;539;444.0;95.0;35864
60;836;689.0;147.0;35843
61;533;423.0;109.0;35825
62;572;466.0;106.0;35807
63;786;625.0;161.0;35793
64;768;643.0;125.0;35781
65;627;488.0;139.0;35773
66;612;463.0;149.0;35766
67;572;436.0;136.0;35764
68;662;543.0;119.0;35763
69;646;518.0;128.0;35763
70;560;473.0;87.0;35763
71;606;509.0;97.0;35763
72;494;409.0;85.0;35763
73;528;432.0;96.0;35763
74;515;432.0;83.0;35763
75;493;396.0;97.0;35763
76;594;511.0;83.0;35763
77;524;416.0;108.0;35763
78;558;457.0;101.0;35763
79;603;487.0;116.0;35763
80;632;502.0;130.0;35763
81;722;584.0;138.0;35763
82;694;563.0;131.0;35763
83;576;494.0;82.0;35763
84;503;420.0;83.0;35763
85;535;442.0;93.0;35763
86;523;441.0;82.0;35763
87;591;474.0;117.0;35763
88;483;403.0;80.0;35763
89;460;381.0;79.0;35763
90;541;445.0;96.0;35763
91;548;467.0;81.0;35763
92;512;418.0;94.0;35763
93;520;441.0;79.0;35763
94;526;434.0;92.0;35763
95;515;437.0;78.0;35763
96;519;426.0;92.0;35763
97;504;422.0;82.0;35763
98;490;411.0;79.0;35763
99;547;469.0;78.0;35763
100;556;465.0;91.0;35763
101;586;507.0;79.0;35763
102;517;440.0;77.0;35763
103;538;458.0;80.0;35763
104;540;461.0;79.0;35763
105;564;473.0;91.0;35763
106;547;468.0;79.0;35763
107;525;448.0;77.0;35763
108;520;439.0;80.0;35763
109;500;409.0;91.0;35763
110;493;412.0;81.0;35763
111;542;446.0;96.0;35763
112;540;462.0;78.0;35763
113;550;460.0;90.0;35763
114;526;449.0;77.0;35763
115;550;470.0;80.0;35763
116;500;422.0;78.0;35763
117;536;460.0;76.0;35763
118;551;459.0;92.0;35763
119;545;462.0;83.0;35763
120;507;414.0;93.0;35763
121;556;477.0;79.0;35763
122;521;430.0;91.0;35763
123;553;464.0;89.0;35763
124;479;387.0;92.0;35763
125;516;437.0;78.0;35763
126;551;473.0;78.0;35763
127;549;456.0;92.0;35763
128;530;452.0;78.0;35763
129;545;469.0;76.0;35763
130;525;447.0;78.0;35763
131;498;407.0;91.0;35763
132;496;418.0;78.0;35763
133;551;456.0;95.0;35763
134;525;448.0;77.0;35763
135;505;414.0;91.0;35763
136;514;429.0;85.0;35763
137;470;392.0;78.0;35763
138;549;471.0;78.0;35763
139;498;421.0;77.0;35763
140;547;470.0;77.0;35763
141;534;453.0;81.0;35763
142;550;473.0;77.0;35763
143;521;429.0;91.0;35763
144;521;411.0;110.0;35763
145;533;454.0;78.0;35763
146;562;483.0;79.0;35763
147;530;439.0;91.0;35763
148;506;427.0;79.0;35763
149;525;435.0;90.0;35763
150;544;467.0;77.0;35763
151;531;454.0;77.0;35763
152;572;477.0;95.0;35763
153;518;441.0;77.0;35763
154;549;458.0;91.0;35763
155;531;451.0;80.0;35763
156;553;474.0;79.0;35763
157;542;445.0;97.0;35763
158;534;457.0;77.0;35763
159;535;454.0;81.0;35763
160;507;418.0;88.0;35763
161;539;460.0;79.0;35763
162;500;418.0;82.0;35763
163;538;462.0;76.0;35763
164;523;431.0;92.0;35763
165;538;461.0;77.0;35763
166;541;451.0;90.0;35763
167;557;470.0;87.0;35763
168;546;469.0;77.0;35763
169;501;423.0;78.0;35763
170;542;458.0;84.0;35763
171;551;447.0;104.0;35763
172;542;459.0;83.0;35763
173;495;417.0;78.0;35763
174;543;462.0;81.0;35763
175;518;426.0;91.0;35763
176;533;451.0;82.0;35763
177;490;411.0;79.0;35763
178;518;439.0;78.0;35763
179;521;430.0;91.0;35763
180;529;449.0;80.0;35763
181;505;427.0;78.0;35763
182;511;420.0;91.0;35763
183;497;419.0;78.0;35763
184;538;447.0;91.0;35763
185;505;428.0;77.0;35763
186;543;452.0;91.0;35763
187;537;459.0;78.0;35763
188;524;442.0;82.0;35763
189;548;448.0;100.0;35763
190;491;413.0;78.0;35763
191;515;436.0;79.0;35763
192;507;411.0;96.0;35763
193;532;455.0;77.0;35763
194;539;462.0;77.0;35763
195;498;420.0;78.0;35763
196;529;450.0;79.0;35763
197;508;421.0;87.0;35763
198;519;426.0;93.0;35763
199;568;487.0;81.0;35763
200;524;447.0;77.0;35763
