tick;time;drops
0;0;44268
1;402;44268
2;477;43922
3;468;43605
4;427;43295
5;437;43005
6;430;42724
7;443;42462
8;430;42197
9;461;41949
10;481;41721
11;473;41499
12;472;41294
13;451;41097
14;462;40905
15;499;40718
16;481;40540
17;472;40369
18;487;40210
19;455;40070
20;499;39924
21;513;39782
22;495;39640
23;527;39501
24;488;39366
25;485;39227
26;532;39092
27;544;38954
28;509;38822
29;516;38698
30;547;38576
31;548;38467
32;500;38355
33;485;38239
34;560;38118
35;506;37996
36;549;37870
37;538;37743
38;488;37615
39;548;37488
40;500;37360
41;481;37234
42;509;37112
43;508;36995
44;542;36886
45;504;36779
46;544;36682
47;517;36589
48;537;36500
49;523;36412
50;524;36330
51;531;36257
52;599;36187
53;597;36117
54;589;36061
55;512;36010
56;514;35965
57;532;35926
58;543;35892
59;550;35864
60;509;35843
61;538;35825
62;544;35807
63;517;35793
64;564;35781
65;505;35773
66;537;35766
67;532;35764
68;550;35763
69;529;35763
70;527;35763
71;560;35763
72;540;35763
73;548;35763
74;584;35763
75;550;35763
76;538;35763
77;544;35763
78;557;35763
79;580;35763
80;545;35763
81;542;35763
82;500;35763
83;544;35763
84;564;35763
85;538;35763
86;587;35763
87;604;35763
88;568;35763
89;536;35763
90;566;35763
91;555;35763
92;579;35763
93;529;35763
94;578;35763
95;562;35763
96;555;35763
97;590;35763
98;588;35763
99;566;35763
100;600;35763
101;590;35763
102;582;35763
103;588;35763
104;518;35763
105;593;35763
106;573;35763
107;596;35763
108;592;35763
109;528;35763
110;584;35763
111;555;35763
112;589;35763
113;535;35763
114;578;35763
115;573;35763
116;592;35763
117;552;35763
118;624;35763
119;579;35763
120;588;35763
121;546;35763
122;563;35763
123;586;35763
124;587;35763
125;578;35763
126;585;35763
127;546;35763
128;560;35763
129;586;35763
130;592;35763
131;588;35763
132;534;35763
133;585;35763
134;553;35763
135;598;35763
136;555;35763
137;608;35763
138;553;35763
139;588;35763
140;591;35763
141;600;35763
142;544;35763
143;565;35763
144;600;35763
145;585;35763
146;588;35763
147;581;35763
148;557;35763
149;535;35763
150;574;35763
151;596;35763
152;584;35763
153;570;35763
154;606;35763
155;546;35763
156;574;35763
157;561;35763
158;590;35763
159;607;35763
160;538;35763
161;593;35763
162;572;35763
163;576;35763
164;548;35763
165;576;35763
166;595;35763
167;588;35763
168;556;35763
169;580;35763
170;587;35763
171;581;35763
172;597;35763
173;582;35763
174;546;35763
175;573;35763
176;586;35763
177;595;35763
178;575;35763
179;588;35763
180;578;35763
181;547;35763
182;580;35763
183;568;35763
184;587;35763
185;603;35763
186;552;35763
187;611;35763
188;592;35763
189;559;35763
190;579;35763
191;531;35763
192;576;35763
193;570;35763
194;550;35763
195;591;35763
196;558;35763
197;569;35763
198;538;35763
199;583;35763
200;557;35763
201;564;35763
202;576;35763
203;575;35763
204;580;35763
205;544;35763
206;568;35763
207;568;35763
208;575;35763
209;580;35763
210;561;35763
211;584;35763
212;566;35763
213;576;35763
214;527;35763
215;571;35763
216;594;35763
217;589;35763
218;547;35763
219;617;35763
220;599;35763
221;565;35763
222;574;35763
223;565;35763
224;554;35763
225;557;35763
226;587;35763
227;575;35763
228;583;35763
229;616;35763
230;560;35763
231;564;35763
232;586;35763
233;590;35763
234;594;35763
235;547;35763
236;564;35763
237;594;35763
238;580;35763
239;578;35763
240;553;35763
241;559;35763
242;556;35763
243;547;35763
244;636;35763
245;581;35763
246;563;35763
247;583;35763
248;552;35763
249;543;35763
250;593;35763
251;590;35763
252;582;35763
253;554;35763
254;587;35763
255;611;35763
256;563;35763
257;571;35763
258;543;35763
259;577;35763
260;540;35763
261;575;35763
262;592;35763
263;577;35763
264;556;35763
265;518;35763
266;578;35763
267;582;35763
268;571;35763
269;550;35763
270;565;35763
271;583;35763
272;554;35763
273;562;35763
274;580;35763
275;585;35763
276;578;35763
277;543;35763
278;553;35763
279;1343;35763
280;546;35763
281;589;35763
282;563;35763
283;579;35763
284;555;35763
285;580;35763
286;594;35763
287;528;35763
288;560;35763
289;568;35763
290;569;35763
291;579;35763
292;533;35763
293;564;35763
294;562;35763
295;589;35763
296;545;35763
297;579;35763
298;550;35763
299;540;35763
300;558;35763
