tick;time;time_patch;time_drop;drops
0;0;0.0;0.0;44268
1;402;198.0;203.0;44268
2;438;197.0;241.0;43922
3;458;206.0;251.0;43605
4;429;202.0;227.0;43295
5;443;219.0;224.0;43005
6;457;216.0;241.0;42724
7;426;206.0;220.0;42462
8;436;217.0;219.0;42197
9;466;225.0;241.0;41949
10;428;202.0;226.0;41721
11;441;234.0;207.0;41499
12;442;236.0;206.0;41294
13;458;242.0;216.0;41097
14;444;243.0;201.0;40905
15;444;248.0;196.0;40718
16;481;257.0;224.0;40540
17;436;243.0;193.0;40369
18;450;258.0;192.0;40210
19;450;260.0;190.0;40070
20;479;294.0;185.0;39924
21;459;272.0;186.0;39782
22;458;272.0;186.0;39640
23;513;320.0;192.0;39501
24;460;274.0;186.0;39366
25;520;314.0;206.0;39227
26;448;266.0;182.0;39092
27;482;299.0;183.0;38954
28;482;288.0;194.0;38822
29;466;287.0;179.0;38698
30;470;294.0;176.0;38576
31;493;317.0;176.0;38467
32;465;290.0;175.0;38355
33;493;301.0;192.0;38239
34;464;290.0;174.0;38118
35;503;303.0;200.0;37996
36;465;291.0;174.0;37870
37;488;301.0;187.0;37743
38;500;328.0;172.0;37615
39;480;304.0;176.0;37488
40;492;304.0;188.0;37360
41;483;306.0;177.0;37234
42;494;307.0;187.0;37112
43;468;300.0;168.0;36995
44;507;315.0;192.0;36886
45;476;302.0;174.0;36779
46;508;318.0;190.0;36682
47;468;299.0;169.0;36589
48;479;314.0;165.0;36500
49;490;327.0;163.0;36412
50;479;316.0;163.0;36330
51;495;336.0;159.0;36257
52;484;322.0;162.0;36187
53;487;329.0;158.0;36117
54;483;326.0;157.0;36061
55;498;342.0;156.0;36010
56;490;333.0;157.0;35965
57;485;330.0;155.0;35926
58;510;331.0;179.0;35892
59;463;310.0;153.0;35864
60;493;316.0;177.0;35843
61;462;312.0;150.0;35825
62;502;330.0;172.0;35807
63;471;320.0;151.0;35793
64;500;328.0;171.0;35781
65;484;334.0;150.0;35773
66;508;336.0;172.0;35766
67;489;340.0;149.0;35764
68;517;365.0;152.0;35763
69;488;337.0;151.0;35763
70;493;342.0;151.0;35763
71;484;334.0;150.0;35763
72;489;334.0;155.0;35763
73;480;329.0;151.0;35763
74;494;340.0;153.0;35763
75;489;319.0;170.0;35763
76;478;324.0;154.0;35763
77;494;326.0;168.0;35763
78;497;345.0;152.0;35763
79;502;351.0;151.0;35763
80;495;342.0;153.0;35763
81;515;357.0;157.0;35763
82;499;344.0;155.0;35763
83;500;351.0;149.0;35763
84;694;321.0;373.0;35763
85;802;587.0;215.0;35763
86;528;356.0;172.0;35763
87;605;450.0;155.0;35763
88;515;357.0;158.0;35763
89;505;349.0;155.0;35763
90;518;365.0;153.0;35763
91;522;350.0;172.0;35763
92;495;337.0;158.0;35763
93;508;355.0;153.0;35763
94;516;362.0;154.0;35763
95;520;367.0;153.0;35763
96;526;342.0;184.0;35763
97;500;347.0;153.0;35763
98;511;340.0;171.0;35763
99;487;332.0;155.0;35763
100;509;355.0;154.0;35763
101;520;343.0;177.0;35763
102;497;344.0;153.0;35763
103;533;381.0;152.0;35763
104;649;466.0;183.0;35763
105;659;482.0;177.0;35763
106;682;485.0;197.0;35763
107;638;458.0;180.0;35763
108;677;502.0;175.0;35763
109;646;472.0;174.0;35763
110;691;494.0;197.0;35763
111;668;466.0;202.0;35763
112;632;458.0;174.0;35763
113;661;483.0;177.0;35763
114;664;489.0;175.0;35763
115;692;520.0;172.0;35763
116;655;458.0;197.0;35763
117;633;462.0;171.0;35763
118;693;521.0;172.0;35763
119;660;485.0;175.0;35763
120;660;486.0;174.0;35763
121;668;470.0;198.0;35763
122;638;461.0;177.0;35763
123;669;492.0;177.0;35763
124;643;465.0;178.0;35763
125;661;482.0;179.0;35763
126;687;486.0;201.0;35763
127;628;447.0;181.0;35763
128;676;500.0;176.0;35763
129;654;474.0;180.0;35763
130;705;531.0;174.0;35763
131;695;498.0;197.0;35763
132;648;465.0;183.0;35763
133;666;493.0;173.0;35763
134;644;466.0;178.0;35763
135;670;495.0;175.0;35763
136;660;458.0;202.0;35763
137;642;465.0;177.0;35763
138;692;516.0;176.0;35763
139;644;462.0;181.0;35763
140;684;510.0;174.0;35763
141;692;490.0;202.0;35763
142;665;489.0;176.0;35763
143;665;483.0;182.0;35763
144;648;467.0;181.0;35763
145;670;494.0;176.0;35763
146;668;470.0;198.0;35763
147;631;450.0;181.0;35763
148;700;526.0;174.0;35763
149;679;501.0;178.0;35763
150;696;521.0;175.0;35763
151;704;501.0;203.0;35763
152;655;477.0;177.0;35763
153;674;496.0;178.0;35763
154;671;495.0;176.0;35763
155;695;524.0;171.0;35763
156;680;475.0;204.0;35763
157;632;456.0;176.0;35763
158;674;490.0;184.0;35763
159;663;483.0;179.0;35763
160;813;631.0;182.0;35763
161;687;477.0;210.0;35763
162;625;447.0;178.0;35763
163;684;509.0;175.0;35763
164;675;499.0;176.0;35763
165;671;497.0;174.0;35763
166;685;485.0;200.0;35763
167;645;473.0;172.0;35763
168;686;513.0;173.0;35763
169;635;459.0;176.0;35763
170;677;502.0;175.0;35763
171;648;453.0;195.0;35763
172;637;462.0;175.0;35763
173;655;482.0;173.0;35763
174;632;459.0;173.0;35763
175;668;487.0;181.0;35763
176;677;474.0;202.0;35763
177;634;457.0;177.0;35763
178;678;496.0;181.0;35763
179;635;458.0;177.0;35763
180;650;472.0;178.0;35763
181;679;478.0;201.0;35763
182;642;465.0;177.0;35763
183;677;500.0;176.0;35763
184;637;458.0;179.0;35763
185;692;514.0;178.0;35763
186;703;499.0;204.0;35763
187;642;461.0;181.0;35763
188;728;543.0;185.0;35763
189;678;496.0;182.0;35763
190;686;505.0;181.0;35763
191;666;464.0;202.0;35763
192;656;470.0;186.0;35763
193;707;528.0;179.0;35763
194;652;470.0;182.0;35763
195;668;485.0;183.0;35763
196;678;474.0;204.0;35763
197;657;480.0;177.0;35763
198;663;490.0;173.0;35763
199;754;520.0;234.0;35763
200;1193;1015.0;178.0;35763
201;740;537.0;203.0;35763
