tick;time;time_patch;time_drop;drops
0;0;0.0;0.0;44268
1;439;238.0;200.0;44268
2;489;244.0;245.0;43922
3;463;198.0;265.0;43605
4;424;193.0;231.0;43295
5;462;216.0;246.0;43005
6;417;196.0;221.0;42724
7;432;211.0;220.0;42462
8;460;220.0;240.0;42197
9;426;211.0;215.0;41949
10;439;226.0;213.0;41721
11;441;233.0;208.0;41499
12;461;256.0;205.0;41294
13;445;245.0;200.0;41097
14;445;244.0;201.0;40905
15;464;254.0;210.0;40718
16;454;251.0;202.0;40540
17;451;257.0;194.0;40369
18;505;313.0;192.0;40210
19;448;260.0;188.0;40070
20;459;270.0;189.0;39924
21;480;291.0;189.0;39782
22;452;268.0;184.0;39640
23;474;276.0;198.0;39501
24;478;293.0;184.0;39366
25;458;274.0;184.0;39227
26;476;277.0;199.0;39092
27;479;296.0;183.0;38954
28;469;288.0;181.0;38822
29;487;309.0;178.0;38698
30;478;301.0;177.0;38576
31;497;303.0;194.0;38467
32;474;300.0;174.0;38355
33;469;293.0;176.0;38239
34;491;317.0;174.0;38118
35;479;302.0;177.0;37996
36;495;308.0;187.0;37870
37;477;298.0;179.0;37743
38;514;305.0;209.0;37615
39;468;294.0;174.0;37488
40;475;302.0;173.0;37360
41;499;330.0;169.0;37234
42;476;305.0;171.0;37112
43;485;317.0;168.0;36995
44;480;309.0;171.0;36886
45;504;338.0;166.0;36779
46;476;310.0;166.0;36682
47;488;327.0;161.0;36589
48;479;315.0;164.0;36500
49;482;322.0;160.0;36412
50;481;317.0;164.0;36330
51;492;318.0;174.0;36257
52;478;316.0;162.0;36187
53;491;335.0;156.0;36117
54;481;321.0;158.0;36061
55;488;332.0;155.0;36010
56;468;313.0;155.0;35965
57;499;342.0;157.0;35926
58;487;331.0;156.0;35892
59;506;353.0;153.0;35864
60;474;319.0;155.0;35843
61;494;343.0;151.0;35825
62;473;318.0;155.0;35807
63;491;339.0;152.0;35793
64;465;312.0;153.0;35781
65;493;342.0;151.0;35773
66;513;331.0;182.0;35766
67;478;326.0;152.0;35764
68;519;345.0;174.0;35763
69;494;343.0;151.0;35763
70;505;354.0;151.0;35763
71;479;325.0;154.0;35763
72;492;341.0;151.0;35763
73;490;336.0;153.0;35763
74;561;409.0;152.0;35763
75;485;334.0;151.0;35763
76;508;358.0;150.0;35763
77;508;335.0;173.0;35763
78;475;325.0;150.0;35763
79;494;330.0;164.0;35763
80;481;330.0;151.0;35763
81;496;347.0;149.0;35763
82;502;348.0;154.0;35763
83;491;338.0;153.0;35763
84;485;333.0;152.0;35763
85;495;342.0;153.0;35763
86;503;333.0;170.0;35763
87;483;331.0;152.0;35763
88;521;365.0;156.0;35763
89;505;353.0;152.0;35763
90;517;365.0;152.0;35763
91;489;335.0;154.0;35763
92;516;365.0;151.0;35763
93;511;341.0;170.0;35763
94;479;325.0;154.0;35763
95;512;360.0;152.0;35763
96;498;343.0;155.0;35763
97;514;361.0;153.0;35763
98;526;349.0;177.0;35763
99;506;354.0;152.0;35763
100;524;372.0;152.0;35763
101;507;354.0;153.0;35763
102;524;369.0;155.0;35763
103;522;352.0;170.0;35763
104;490;334.0;156.0;35763
105;512;361.0;151.0;35763
106;506;350.0;156.0;35763
107;507;354.0;153.0;35763
108;523;352.0;171.0;35763
109;484;332.0;152.0;35763
110;495;345.0;150.0;35763
111;510;357.0;153.0;35763
112;521;368.0;153.0;35763
113;499;331.0;168.0;35763
114;512;359.0;153.0;35763
115;512;360.0;152.0;35763
116;507;355.0;152.0;35763
117;525;372.0;152.0;35763
118;517;346.0;171.0;35763
119;492;339.0;153.0;35763
120;552;398.0;154.0;35763
121;508;354.0;154.0;35763
122;532;379.0;153.0;35763
123;524;358.0;166.0;35763
124;487;333.0;154.0;35763
125;526;373.0;153.0;35763
126;556;401.0;154.0;35763
127;523;365.0;158.0;35763
128;516;347.0;169.0;35763
129;508;355.0;152.0;35763
130;521;370.0;151.0;35763
131;508;353.0;155.0;35763
132;534;379.0;155.0;35763
133;504;333.0;171.0;35763
134;504;352.0;152.0;35763
135;548;394.0;154.0;35763
136;500;345.0;155.0;35763
137;545;387.0;158.0;35763
138;548;379.0;168.0;35763
139;512;356.0;156.0;35763
140;512;363.0;149.0;35763
