tick;time;time_patch;time_drop;drops;time_patch_getLocation;time_patch_dropsHere;time_patch_actions;time_drop_getLocation;time_drop_patchHere;time_drop_remove;time_drop_move
0;184;104;79;44268;15;47;23;11;13;0;36
1;439;64;277;44268;12;26;13;14;30;167;42
2;267;49;149;43922;9;19;9;11;13;78;31
3;216;42;120;43605;9;15;6;12;12;58;24
4;271;40;111;43295;9;14;6;10;12;55;21
5;209;44;114;43005;10;16;7;10;10;60;20
6;207;45;111;42724;10;16;7;11;10;56;21
7;211;45;116;42462;10;16;7;13;11;55;22
8;207;44;111;42197;10;15;7;10;9;60;18
9;205;44;110;41949;10;16;7;11;10;56;19
10;201;46;104;41721;10;16;8;11;10;51;19
11;201;45;105;41499;10;15;7;10;9;56;17
12;203;45;108;41294;10;16;7;11;13;50;21
13;231;54;125;41097;10;22;10;9;45;42;16
14;195;42;105;40905;9;14;7;10;9;55;17
15;194;44;101;40718;10;15;7;10;8;55;16
16;204;51;103;40540;10;18;9;10;8;57;15
17;194;44;100;40369;10;15;7;10;8;55;15
18;188;45;94;40210;10;15;8;11;9;48;15
19;189;44;95;40070;10;15;7;10;8;50;15
20;186;44;93;39924;10;15;7;10;8;48;15
21;188;44;95;39782;10;15;7;11;9;48;15
22;186;43;95;39640;10;14;8;11;9;48;15
23;213;46;117;39501;10;16;8;10;10;45;14
24;187;44;94;39366;10;15;8;10;8;49;14
25;186;45;92;39227;10;15;8;10;8;48;14
26;182;40;94;39092;9;14;7;10;8;50;14
27;187;43;92;38954;9;14;7;9;8;50;14
28;186;43;94;38822;10;14;8;10;8;51;14
29;184;45;91;38698;10;15;8;10;8;48;14
30;187;44;94;38576;10;15;8;11;9;46;15
31;179;42;91;38467;9;14;7;10;8;50;13
32;182;44;89;38355;10;15;8;9;8;47;13
33;185;41;95;38239;9;13;7;10;10;46;16
34;189;49;89;38118;9;18;10;11;12;35;18
35;190;52;87;37996;10;20;10;10;11;38;17
36;210;68;90;37870;10;17;30;9;9;46;13
37;178;45;85;37743;10;15;8;9;7;44;13
38;180;46;84;37615;10;15;8;10;8;41;13
39;180;45;85;37488;10;15;8;9;8;44;13
40;174;40;86;37360;9;13;7;10;7;43;13
41;177;42;85;37234;9;13;7;10;8;42;13
42;180;41;89;37112;9;13;7;10;8;46;13
43;176;44;82;36995;10;14;8;10;7;41;13
44;176;45;80;36886;10;15;8;10;8;38;13
45;177;46;81;36779;10;15;8;9;7;40;13
46;171;41;83;36682;9;13;7;10;7;41;13
47;177;45;82;36589;10;15;8;9;7;41;13
48;176;44;84;36500;10;15;8;9;8;42;13
49;198;65;84;36412;10;36;8;10;10;39;13
50;174;43;82;36330;10;14;8;9;7;41;13
51;172;45;77;36257;10;15;8;10;7;35;13
52;172;41;80;36187;9;13;7;9;7;39;13
53;171;44;77;36117;10;15;8;10;8;35;13
54;174;44;79;36061;10;14;8;10;8;36;14
55;174;44;80;36010;10;14;8;9;7;38;13
56;169;44;78;35965;10;14;8;10;8;35;13
57;169;45;76;35926;10;15;8;9;7;35;13
58;166;44;75;35892;10;14;8;10;7;34;13
59;149;42;57;35864;9;13;8;9;7;18;12
