tick;time;time_patch;time_drop;drops;time_patch_getLocation;time_patch_dropsHere;time_patch_actions;time_drop_getLocation;time_drop_patchHere;time_drop_remove;time_drop_move
133;91;47;3;1002;10;19;9;0;0;0;1
134;92;48;2;1002;8;25;6;0;0;0;0
135;94;41;2;1002;10;14;7;0;0;0;0
136;82;35;1;1002;8;11;6;0;0;0;0
137;86;40;1;1002;9;14;6;0;0;0;0
138;88;38;2;1002;9;13;6;0;0;0;0
139;94;46;2;1002;14;15;7;0;0;0;0
140;93;44;2;1002;9;13;6;0;0;0;0
141;105;56;2;1002;10;15;12;0;0;0;0
142;83;38;2;1002;10;13;6;0;0;0;0
143;92;46;2;1002;11;17;7;0;0;0;0
144;101;39;2;1002;9;13;7;0;0;0;0
145;99;34;1;1002;8;11;5;0;0;0;0
146;90;45;2;1002;11;15;7;0;0;0;0
147;84;37;2;1002;9;13;6;0;0;0;0
148;87;36;2;1002;9;12;6;0;0;0;0
149;88;41;1;1002;9;14;7;0;0;0;0
150;85;41;1;1002;9;13;7;0;0;0;0
151;85;39;2;1002;10;14;6;0;0;0;0
152;84;39;2;1002;9;13;6;0;0;0;0
153;88;38;2;1002;9;13;6;0;0;0;0
154;94;41;2;1002;9;16;6;0;0;0;0
155;95;45;1;1002;9;20;6;0;0;0;0
156;89;45;1;1002;10;17;7;0;0;0;0
157;90;38;2;1002;9;13;6;0;0;0;0
158;87;39;3;1002;9;13;7;0;0;0;0
159;92;42;2;1002;11;14;7;0;0;0;0
160;87;42;1;1002;9;15;7;0;0;0;0
161;100;49;2;1002;9;22;7;0;0;0;0
162;87;45;2;1002;10;16;7;0;0;0;0
163;85;36;2;1002;9;13;6;0;0;0;0
164;88;39;1;1002;9;13;6;0;0;0;0
165;89;40;2;1002;9;14;7;0;0;0;0
166;100;54;2;1002;10;15;19;0;0;0;0
167;85;39;1;1002;9;13;6;0;0;0;0
168;95;48;2;1002;9;21;7;0;0;0;0
169;88;41;2;1002;10;15;6;0;0;0;0
170;82;36;1;1002;8;12;6;0;0;0;0
171;90;40;2;1002;9;14;6;0;0;0;0
172;91;39;2;1002;9;13;6;0;0;0;0
173;90;39;1;1002;9;14;6;0;0;0;0
174;92;43;2;1002;10;15;7;0;0;0;0
175;92;41;2;1002;10;15;6;0;0;0;0
176;93;39;1;1002;9;13;6;0;0;0;0
177;102;46;3;1002;10;16;7;0;1;0;0
178;97;45;2;1002;10;13;13;0;0;0;0
179;93;38;2;1002;9;14;6;0;0;0;0
180;89;38;1;1002;9;13;6;0;0;0;0
181;87;42;1;1002;10;15;6;0;0;0;0
182;89;38;2;1002;9;13;6;0;0;0;0
183;88;41;2;1002;10;14;6;0;0;0;0
184;84;38;2;1002;9;13;6;0;0;0;0
185;90;41;2;1002;9;14;7;0;0;0;0
186;89;39;2;1002;10;13;6;0;0;0;0
187;84;39;3;1002;9;13;6;0;1;0;1
188;88;40;1;1002;10;13;6;0;0;0;0
189;90;38;1;1002;9;13;6;0;0;0;0
190;93;40;2;1002;10;14;6;0;0;0;0
191;108;62;2;1002;14;28;8;0;0;0;0
192;93;42;2;1002;11;14;7;0;0;0;0
193;99;42;1;1002;9;13;6;0;0;0;0
194;87;38;1;1002;9;13;6;0;0;0;0
195;90;42;2;1002;9;15;7;0;0;0;0
196;86;36;2;1002;9;12;6;0;0;0;0
197;95;47;1;1002;12;16;7;0;0;0;0
198;92;43;2;1002;10;16;7;0;0;0;0
199;94;49;2;1002;10;19;10;0;0;0;0
200;89;46;2;1002;9;18;9;0;0;0;0
201;100;58;2;1002;9;31;8;0;0;0;0
202;78;36;2;1002;8;12;6;0;0;0;0
203;90;40;1;1002;10;14;6;0;0;0;0
204;91;38;2;1002;9;13;6;0;0;0;0
205;91;43;3;1002;10;16;7;0;0;0;0
206;85;41;1;1002;9;14;6;0;0;0;0
207;88;39;2;1002;10;14;6;0;0;0;0
208;82;35;1;1002;8;11;6;0;0;0;0
209;90;39;1;1002;9;13;6;0;0;0;0
210;91;40;2;1002;10;14;7;0;0;0;0
211;89;38;2;1002;9;13;6;0;0;0;0
212;89;39;2;1002;9;13;6;0;0;0;0
213;81;36;2;1002;8;12;6;0;0;0;0
214;91;40;2;1002;10;14;6;0;0;0;0
215;89;45;2;1002;10;15;8;0;0;0;0
216;87;40;1;1002;10;14;6;0;0;0;0
217;91;40;1;1002;9;13;8;0;0;0;0
218;89;39;1;1002;9;13;6;0;0;0;0
219;85;39;1;1002;9;13;6;0;0;0;0
220;95;44;1;1002;10;15;8;0;0;0;0
221;90;39;2;1002;9;13;6;0;0;0;0
222;86;39;2;1002;9;13;6;0;0;0;0
223;95;44;1;1002;11;15;7;0;0;0;0
224;84;38;1;1002;8;13;6;0;0;0;0
225;93;42;2;1002;10;14;7;0;0;0;0
226;88;39;1;1002;9;13;6;0;0;0;0
227;94;42;2;1002;9;18;6;0;0;0;0
228;86;38;2;1002;9;13;6;0;0;0;0
229;88;38;2;1002;9;13;6;0;0;0;0
230;86;37;1;1002;8;12;6;0;0;0;0
231;91;40;2;1002;10;14;6;0;0;0;0
232;84;40;1;1002;10;14;6;0;0;0;0
233;85;41;2;1002;10;14;6;0;0;0;0
234;84;35;2;1002;8;12;6;0;0;0;0
235;94;45;2;1002;15;14;6;0;0;0;0
236;85;40;2;1002;9;14;7;0;0;0;0
237;100;36;2;1002;9;12;6;0;0;0;0
238;87;38;1;1002;9;13;6;0;0;0;0
239;85;38;2;1002;9;13;6;0;0;0;0
240;93;41;2;1002;10;14;7;0;0;0;0
241;93;43;1;1002;10;16;6;0;0;0;0
242;99;50;1;1002;10;22;7;0;0;0;0
243;87;38;2;1002;8;13;6;0;0;0;0
244;86;37;1;1002;9;12;6;0;0;0;0
245;91;42;2;1002;10;14;7;0;0;0;0
246;85;38;2;1002;9;13;6;0;0;0;0
247;85;39;2;1002;9;14;6;0;0;0;0
248;96;44;1;1002;11;15;7;0;0;0;0
249;89;40;2;1002;9;14;6;0;0;0;0
250;84;37;2;1002;9;13;6;0;0;0;0
251;90;41;2;1002;10;14;6;0;0;0;0
252;88;40;1;1002;10;13;6;0;0;0;0
253;89;39;1;1002;9;13;6;0;0;0;0
254;86;36;1;1002;8;12;6;0;0;0;0
255;93;41;2;1002;10;14;7;0;0;0;0
256;87;43;1;1002;9;17;6;0;0;0;0
257;83;39;2;1002;9;13;6;0;0;0;0
258;83;36;1;1002;8;12;6;0;0;0;0
259;87;39;1;1002;9;13;6;0;0;0;0
260;86;39;1;1002;9;13;6;0;0;0;0
261;89;40;1;1002;9;13;7;0;0;0;0
262;93;40;1;1002;9;14;7;0;0;0;0
263;88;41;1;1002;10;14;6;0;0;0;0
264;91;40;2;1002;10;14;7;0;0;0;0
265;86;39;2;1002;9;13;6;0;0;0;0
266;85;39;2;1002;9;13;6;0;0;0;0
267;96;44;2;1002;10;15;7;0;0;0;0
268;85;39;1;1002;9;13;6;0;0;0;0
269;97;43;2;1002;11;16;7;0;0;0;0
270;90;38;2;1002;9;14;6;0;0;0;0
271;88;38;4;1002;9;13;6;0;2;0;1
272;91;41;2;1002;9;15;7;0;0;0;0
273;93;45;2;1002;9;18;9;0;0;0;0
274;97;56;1;1002;9;27;10;0;0;0;0
275;80;38;1;1002;9;13;6;0;0;0;0
276;91;40;2;1002;10;14;6;0;0;0;0
277;88;43;1;1002;10;14;8;0;0;0;0
278;85;39;1;1002;9;13;6;0;0;0;0
279;83;37;1;1002;9;12;6;0;0;0;0
280;90;39;1;1002;9;13;6;0;0;0;0
281;91;43;2;1002;10;16;6;0;0;0;0
282;81;35;1;1002;8;11;6;0;0;0;0
283;89;39;2;1002;9;14;6;0;0;0;0
284;82;34;2;1002;8;11;6;0;0;0;0
285;83;34;2;1002;8;11;6;0;0;0;0
286;88;38;2;1002;9;13;6;0;0;0;0
287;86;40;2;1002;9;14;6;0;0;0;0
288;93;43;2;1002;12;15;6;0;0;0;0
289;86;42;2;1002;10;15;7;0;0;0;0
290;88;38;2;1002;9;14;6;0;0;0;0
291;92;44;2;1002;10;16;7;0;0;0;0
292;89;39;2;1002;10;14;6;0;0;0;0
293;82;37;1;1002;8;12;6;0;0;0;0
294;90;40;2;1002;10;14;6;0;0;0;0
295;87;43;2;1002;10;15;7;0;0;0;0
296;87;35;2;1002;8;11;6;0;0;0;0
297;85;38;1;1002;9;13;6;0;0;0;0
298;87;38;1;1002;9;13;6;0;0;0;0
299;92;38;1;1002;9;13;6;0;0;0;0
300;101;36;2;1002;9;13;6;0;0;0;0
