tick;time;time_patch;time_drop;drops;
0;425;60;365;164687;
1;2970;42;2915;164679;
2;1139;47;1091;112299;
3;637;20;616;87485;
4;411;15;395;70139;
5;279;18;260;57295;
6;201;16;185;47568;
7;151;16;135;39992;
8;117;14;102;34012;
9;94;14;79;29204;
10;77;14;63;25321;
11;66;16;49;22114;
12;55;16;39;19482;
13;51;14;36;17298;
14;43;13;30;15440;
15;41;14;26;13850;
16;37;13;23;12473;
17;105;87;17;11309;
18;30;14;16;10308;
19;26;12;13;9462;
20;25;13;11;8738;
21;25;14;11;8108;
22;26;15;10;7560;
23;23;14;8;7071;
24;26;18;8;6639;
25;23;14;8;6255;
26;23;16;6;5908;
27;20;14;6;5587;
28;23;16;6;5304;
29;19;12;6;5048;
30;23;16;5;4818;
31;17;13;4;4609;
32;20;15;5;4416;
33;22;16;5;4245;
34;23;18;4;4086;
35;17;12;3;3940;
36;19;14;4;3806;
37;19;16;2;3680;
38;23;16;5;3565;
39;14;11;2;3457;
40;69;65;3;3363;
41;19;16;2;3276;
42;17;14;2;3195;
43;19;16;2;3123;
44;16;14;2;3055;
45;16;13;2;2991;
46;17;14;2;2935;
47;13;11;1;2880;
48;20;18;1;2827;
49;15;13;2;2777;
50;17;14;2;2731;
51;17;14;2;2689;
52;16;14;2;2651;
53;17;16;1;2613;
54;13;11;1;2576;
55;13;11;1;2541;
56;17;15;2;2508;
57;16;15;1;2478;
58;16;14;1;2450;
59;17;15;1;2424;
60;16;14;1;2398;
61;14;13;1;2374;
62;18;16;1;2351;
63;17;16;1;2329;
64;15;13;1;2307;
65;15;13;1;2286;
66;12;11;1;2265;
67;20;18;1;2246;
68;61;60;1;2227;
69;16;13;2;2208;
70;14;12;1;2190;
71;12;11;1;2173;
72;14;12;1;2157;
73;18;17;0;2141;
74;14;12;1;2125;
75;17;16;0;2109;
76;17;16;0;2093;
77;14;12;1;2077;
78;19;18;0;2063;
79;13;11;1;2049;
80;12;11;0;2035;
81;17;15;1;2021;
82;15;14;0;2008;
83;12;11;0;1996;
84;13;12;0;1985;
85;15;14;0;1974;
86;13;11;1;1964;
87;14;13;0;1955;
88;17;15;1;1946;
89;13;12;1;1938;
90;17;16;1;1930;
91;15;15;0;1923;
92;15;14;0;1916;
93;14;12;1;1909;
94;15;15;0;1902;
95;70;69;0;1895;
96;15;14;1;1888;
97;18;17;0;1882;
98;12;11;0;1877;
99;16;14;1;1872;
100;15;14;0;1868;
101;12;11;1;1864;
102;13;12;1;1860;
103;17;16;1;1856;
104;15;14;0;1852;
105;15;14;0;1848;
106;16;15;0;1844;
107;12;11;0;1840;
108;15;15;0;1836;
109;17;15;1;1833;
110;15;14;0;1830;
111;16;16;0;1827;
112;15;13;0;1824;
113;13;12;0;1821;
114;17;16;0;1818;
115;17;16;0;1815;
116;12;11;0;1812;
117;16;15;0;1809;
118;14;12;0;1807;
119;13;12;1;1805;
120;17;16;1;1803;
121;16;16;0;1801;
122;12;11;0;1799;
123;19;14;0;1797;
124;18;16;1;1796;
125;17;16;0;1795;
126;14;13;0;1794;
127;46;44;0;1793;
128;17;16;0;1792;
129;15;14;0;1791;
130;12;12;0;1790;
131;16;15;0;1789;
132;16;15;0;1789;
133;15;15;0;1789;
134;16;15;1;1789;
135;16;16;0;1789;
136;17;17;0;1789;
137;19;17;0;1789;
138;16;15;0;1789;
139;14;13;0;1789;
140;16;16;0;1789;
141;18;16;1;1789;
142;16;16;0;1789;
143;18;17;0;1789;
144;16;15;0;1789;
145;18;17;0;1789;
146;17;16;0;1789;
147;19;18;0;1789;
148;19;17;0;1789;
149;18;17;1;1789;
150;17;16;1;1789;
151;17;17;0;1789;
152;15;14;1;1789;
153;13;13;0;1789;
154;16;15;0;1789;
155;18;17;0;1789;
156;15;15;0;1789;
157;17;15;1;1789;
158;16;15;0;1789;
159;60;59;0;1789;
160;17;16;0;1789;
161;17;16;0;1789;
162;14;13;0;1789;
163;19;18;0;1789;
164;16;16;0;1789;
165;18;16;1;1789;
166;17;17;0;1789;
167;16;15;0;1789;
168;18;18;0;1789;
169;20;19;0;1789;
170;18;17;0;1789;
171;16;16;0;1789;
172;18;17;0;1789;
173;18;17;0;1789;
174;19;18;1;1789;
175;16;14;1;1789;
176;17;17;0;1789;
177;17;16;0;1789;
178;14;13;0;1789;
179;21;19;1;1789;
180;16;15;0;1789;
181;19;18;0;1789;
182;14;14;0;1789;
183;14;13;0;1789;
184;18;17;0;1789;
185;18;17;0;1789;
186;20;19;0;1789;
187;14;14;0;1789;
188;16;15;0;1789;
189;17;16;0;1789;
190;21;19;1;1789;
191;16;15;0;1789;
192;18;17;0;1789;
193;17;16;0;1789;
194;21;20;0;1789;
195;67;66;0;1789;
196;18;17;0;1789;
197;16;15;0;1789;
198;20;18;1;1789;
199;19;18;1;1789;
200;19;18;0;1789;
