tick;time;time_patch;time_drop;drops
0;144;95;47.999999999999986;44268
1;190;128;56.99999999999999;44268
2;117;75;39.00000000000001;33714
3;104;68;33;28976
4;99;64;28.999999999999996;25134
5;91;62;25.999999999999996;21855
6;86;59;23.000000000000007;19042
7;93;70;19.99999999999999;16620
8;75;54;17.999999999999996;14531
9;72;53;17.000000000000007;12742
10;71;53;16.000000000000007;11223
11;66;49;15;9939
12;65;47;16;8830
13;61;46;12.999999999999998;7874
14;59;45;12.000000000000004;7060
15;60;47;11.000000000000004;6351
16;67;55;10.000000000000002;5742
17;56;44;9.000000000000002;5226
18;58;44;9.000000000000002;4771
19;54;42;8;4388
20;53;41;9.000000000000002;4051
21;53;42;8.999999999999995;3750
22;51;42;8;3471
23;50;40;6.999999999999999;3223
24;53;40.99999999999999;7.000000000000006;3005
25;51;40;6.999999999999999;2819
26;63;51;8;2660
27;49;40;5.999999999999998;2520
28;51;41;6.999999999999999;2396
29;49;40;6.999999999999999;2290
30;49;39;5.999999999999998;2194
31;48;39;5.999999999999998;2107
32;49;40;6.999999999999999;2031
33;50;42;5.999999999999998;1964
34;47;39;5.999999999999998;1905
35;48;40;4.999999999999997;1852
36;60;52;6.000000000000005;1801
37;48;41;5.999999999999998;1756
38;48;39;4.999999999999997;1712
39;50;40;6.999999999999999;1675
40;47;39;5.999999999999998;1639
41;47;38;5.999999999999998;1605
42;47;39;5.999999999999998;1572
43;50;40;4.999999999999997;1541
44;45;38;4.999999999999997;1512
45;47;39;4.999999999999997;1487
46;59;51;5.000000000000004;1463
47;47;39;5.999999999999998;1440
48;47;39;5.999999999999998;1418
49;49;40;6.999999999999999;1397
50;46;39;4.999999999999997;1377
51;47;39;5.999999999999998;1359
52;51;40;8;1341
53;47;38;5.999999999999998;1323
54;47;40;4.999999999999997;1305
55;47;39;5.999999999999998;1289
56;58;39;15;1275
57;46;38;4.999999999999997;1261
58;46;38;5.999999999999998;1248
59;48;40;5.999999999999998;1237
60;46;39;4.999999999999997;1227
61;46;39;4.999999999999997;1217
62;48;41;4.999999999999997;1207
63;46;38;4.999999999999997;1198
64;47;38;5.999999999999998;1190
65;46;38;4.999999999999997;1183
66;49;38;5.999999999999998;1176
67;57;50;4.999999999999997;1170
68;46;39;4.999999999999997;1164
69;46;38;4.999999999999997;1159
70;46;39;4.999999999999997;1154
71;45;37;5.000000000000004;1149
72;51;41;5.999999999999998;1144
73;47;39;4.999999999999997;1139
74;45;38;4.999999999999997;1134
