tick;time;drops;
0;0;44268;
1;502;44268;
2;802;33714;
3;511;28976;
4;454;25134;
5;416;21855;
6;389;19042;
7;361;16620;
8;287;14531;
9;295;12742;
10;265;11223;
11;240;9939;
12;234;8830;
13;237;7874;
14;243;7060;
15;239;6351;
16;212;5742;
17;232;5226;
18;201;4771;
19;225;4388;
20;212;4051;
21;181;3750;
22;211;3471;
23;216;3223;
24;192;3005;
25;208;2819;
26;207;2660;
27;227;2520;
28;208;2396;
29;256;2290;
30;209;2194;
31;182;2107;
32;197;2031;
33;180;1964;
34;201;1905;
35;189;1852;
36;193;1801;
37;180;1756;
38;185;1712;
39;196;1675;
40;194;1639;
41;172;1605;
42;183;1572;
43;179;1541;
44;175;1512;
45;185;1487;
46;181;1463;
47;174;1440;
48;179;1418;
49;179;1397;
50;173;1377;
51;178;1359;
52;180;1341;
53;173;1323;
54;169;1305;
55;175;1289;
56;168;1275;
57;182;1261;
58;182;1248;
59;171;1237;
60;177;1227;
61;176;1217;
62;167;1207;
63;174;1198;
64;172;1190;
65;167;1183;
66;182;1176;
67;176;1170;
68;180;1164;
69;173;1159;
70;172;1154;
71;174;1149;
72;179;1144;
73;190;1139;
74;185;1134;
75;178;1129;
76;168;1125;
77;190;1121;
78;179;1117;
79;179;1113;
80;177;1109;
81;165;1105;
82;170;1101;
83;181;1097;
84;164;1093;
85;173;1089;
86;172;1085;
87;162;1081;
88;171;1077;
89;164;1073;
90;176;1069;
91;169;1065;
92;167;1061;
93;172;1057;
94;174;1053;
95;158;1049;
96;179;1045;
97;157;1041;
98;174;1037;
99;176;1033;
100;162;1029;
101;180;1025;
102;174;1022;
103;166;1021;
104;179;1020;
105;166;1019;
106;176;1018;
107;175;1017;
108;163;1016;
109;175;1015;
110;169;1014;
111;167;1013;
112;169;1012;
113;232;1011;
114;197;1010;
115;225;1009;
116;252;1008;
117;177;1007;
118;166;1006;
119;195;1005;
120;206;1004;
121;193;1003;
122;192;1002;
123;206;1002;
124;171;1002;
125;173;1002;
126;161;1002;
127;174;1002;
128;173;1002;
129;160;1002;
130;172;1002;
131;160;1002;
132;173;1002;
133;169;1002;
134;162;1002;
135;171;1002;
136;172;1002;
137;161;1002;
138;172;1002;
139;163;1002;
140;174;1002;
141;175;1002;
142;169;1002;
143;170;1002;
144;162;1002;
145;171;1002;
146;169;1002;
147;161;1002;
148;176;1002;
149;172;1002;
150;161;1002;
151;176;1002;
152;168;1002;
153;176;1002;
154;171;1002;
155;165;1002;
156;172;1002;
157;168;1002;
158;174;1002;
159;179;1002;
160;165;1002;
161;172;1002;
162;166;1002;
163;166;1002;
164;174;1002;
165;166;1002;
166;184;1002;
167;171;1002;
168;163;1002;
169;177;1002;
170;165;1002;
171;171;1002;
172;170;1002;
173;163;1002;
174;181;1002;
175;157;1002;
176;178;1002;
177;178;1002;
178;157;1002;
179;165;1002;
180;169;1002;
181;165;1002;
182;171;1002;
183;166;1002;
184;171;1002;
185;174;1002;
186;163;1002;
187;168;1002;
188;171;1002;
189;179;1002;
190;174;1002;
191;159;1002;
192;181;1002;
193;178;1002;
194;156;1002;
195;177;1002;
196;162;1002;
197;169;1002;
198;177;1002;
199;165;1002;
200;167;1002;
