tick;time;drops;
0;0;44268;
1;445;44268;
2;1053;33714;
3;648;28976;
4;462;25134;
5;408;21855;
6;361;19042;
7;342;16620;
8;308;14531;
9;299;12742;
10;241;11223;
11;242;9939;
12;242;8830;
13;237;7874;
14;240;7060;
15;227;6351;
16;226;5742;
17;189;5226;
18;227;4771;
19;208;4388;
20;204;4051;
21;218;3750;
22;199;3471;
23;206;3223;
24;214;3005;
25;209;2819;
26;209;2660;
27;205;2520;
28;214;2396;
29;194;2290;
30;193;2194;
31;199;2107;
32;197;2031;
33;195;1964;
34;185;1905;
35;179;1852;
36;188;1801;
37;184;1756;
38;206;1712;
39;178;1675;
40;183;1639;
41;182;1605;
42;172;1572;
43;181;1541;
44;176;1512;
45;166;1487;
46;185;1463;
47;177;1440;
48;163;1418;
49;181;1397;
50;178;1377;
51;163;1359;
52;183;1341;
53;176;1323;
54;166;1305;
55;181;1289;
56;181;1275;
57;161;1261;
58;176;1248;
59;178;1237;
60;161;1227;
61;174;1217;
62;178;1207;
63;165;1198;
64;176;1190;
65;170;1183;
66;169;1176;
67;182;1170;
68;166;1164;
69;172;1159;
70;172;1154;
71;168;1149;
72;173;1144;
73;173;1139;
74;166;1134;
75;176;1129;
76;170;1125;
77;174;1121;
78;173;1117;
79;168;1113;
80;171;1109;
81;173;1105;
82;161;1101;
83;172;1097;
84;165;1093;
85;175;1089;
86;175;1085;
87;160;1081;
88;172;1077;
89;175;1073;
90;168;1069;
91;169;1065;
92;166;1061;
93;181;1057;
94;181;1053;
95;162;1049;
96;168;1045;
97;180;1041;
98;153;1037;
99;175;1033;
100;156;1029;
101;175;1025;
102;169;1022;
103;166;1021;
104;170;1020;
105;158;1019;
106;171;1018;
107;171;1017;
108;159;1016;
109;166;1015;
110;171;1014;
111;150;1013;
112;179;1012;
113;158;1011;
114;170;1010;
115;177;1009;
116;165;1008;
117;176;1007;
118;173;1006;
119;179;1005;
120;178;1004;
121;158;1003;
122;169;1002;
123;160;1002;
124;178;1002;
125;172;1002;
126;161;1002;
127;169;1002;
128;171;1002;
129;161;1002;
130;173;1002;
131;166;1002;
132;168;1002;
133;166;1002;
134;155;1002;
135;167;1002;
136;162;1002;
137;177;1002;
138;169;1002;
139;168;1002;
140;167;1002;
141;167;1002;
142;170;1002;
143;170;1002;
144;162;1002;
145;179;1002;
146;154;1002;
147;169;1002;
148;174;1002;
149;163;1002;
150;165;1002;
151;170;1002;
152;159;1002;
153;169;1002;
154;162;1002;
155;175;1002;
156;168;1002;
157;162;1002;
158;168;1002;
159;164;1002;
160;167;1002;
161;173;1002;
162;158;1002;
163;171;1002;
164;161;1002;
165;172;1002;
166;168;1002;
167;160;1002;
168;171;1002;
169;170;1002;
170;168;1002;
171;168;1002;
172;160;1002;
173;173;1002;
174;164;1002;
175;162;1002;
176;169;1002;
177;160;1002;
178;170;1002;
179;178;1002;
180;156;1002;
181;182;1002;
182;158;1002;
183;169;1002;
184;170;1002;
185;165;1002;
186;171;1002;
187;163;1002;
188;164;1002;
189;186;1002;
190;164;1002;
191;171;1002;
192;167;1002;
193;166;1002;
194;168;1002;
195;162;1002;
196;177;1002;
197;176;1002;
198;167;1002;
199;176;1002;
200;163;1002;
