tick;time;drops;
0;0;44268;
1;466;44268;
2;902;33714;
3;541;28976;
4;434;25134;
5;381;21855;
6;377;19042;
7;346;16620;
8;291;14531;
9;277;12742;
10;277;11223;
11;243;9939;
12;240;8830;
13;246;7874;
14;246;7060;
15;240;6351;
16;245;5742;
17;230;5226;
18;185;4771;
19;195;4388;
20;198;4051;
21;185;3750;
22;213;3471;
23;172;3223;
24;209;3005;
25;197;2819;
26;204;2660;
27;197;2520;
28;170;2396;
29;217;2290;
30;209;2194;
31;198;2107;
32;193;2031;
33;208;1964;
34;174;1905;
35;192;1852;
36;189;1801;
37;179;1756;
38;179;1712;
39;184;1675;
40;178;1639;
41;179;1605;
42;176;1572;
43;184;1541;
44;177;1512;
45;174;1487;
46;178;1463;
47;178;1440;
48;169;1418;
49;176;1397;
50;180;1377;
51;157;1359;
52;179;1341;
53;172;1323;
54;182;1305;
55;177;1289;
56;175;1275;
57;162;1261;
58;181;1248;
59;163;1237;
60;173;1227;
61;170;1217;
62;170;1207;
63;174;1198;
64;180;1190;
65;161;1183;
66;203;1176;
67;188;1170;
68;165;1164;
69;176;1159;
70;171;1154;
71;162;1149;
72;165;1144;
73;171;1139;
74;164;1134;
75;174;1129;
76;172;1125;
77;173;1121;
78;176;1117;
79;177;1113;
80;191;1109;
81;185;1105;
82;176;1101;
83;190;1097;
84;172;1093;
85;175;1089;
86;166;1085;
87;174;1081;
88;166;1077;
89;174;1073;
90;171;1069;
91;173;1065;
92;169;1061;
93;181;1057;
94;172;1053;
95;165;1049;
96;173;1045;
97;162;1041;
98;178;1037;
99;174;1033;
100;164;1029;
101;229;1025;
102;161;1022;
103;177;1021;
104;172;1020;
105;164;1019;
106;171;1018;
107;176;1017;
108;160;1016;
109;173;1015;
110;160;1014;
111;171;1013;
112;172;1012;
113;166;1011;
114;304;1010;
115;200;1009;
116;217;1008;
117;173;1007;
118;172;1006;
119;167;1005;
120;176;1004;
121;158;1003;
122;177;1002;
123;155;1002;
124;187;1002;
125;163;1002;
126;165;1002;
127;173;1002;
128;154;1002;
129;170;1002;
130;167;1002;
131;158;1002;
132;176;1002;
133;166;1002;
134;167;1002;
135;174;1002;
136;162;1002;
137;176;1002;
138;175;1002;
139;168;1002;
140;196;1002;
141;229;1002;
142;223;1002;
143;235;1002;
144;176;1002;
145;168;1002;
146;164;1002;
147;171;1002;
148;176;1002;
149;167;1002;
150;169;1002;
151;156;1002;
152;173;1002;
153;182;1002;
154;167;1002;
155;168;1002;
156;181;1002;
157;158;1002;
158;175;1002;
159;161;1002;
160;171;1002;
161;170;1002;
162;166;1002;
163;165;1002;
164;169;1002;
165;165;1002;
166;173;1002;
167;158;1002;
168;171;1002;
169;154;1002;
170;174;1002;
171;173;1002;
172;172;1002;
173;168;1002;
174;160;1002;
175;173;1002;
176;174;1002;
177;166;1002;
178;168;1002;
179;185;1002;
180;169;1002;
181;166;1002;
182;165;1002;
183;177;1002;
184;165;1002;
185;169;1002;
186;166;1002;
187;163;1002;
188;170;1002;
189;169;1002;
190;160;1002;
191;179;1002;
192;155;1002;
193;174;1002;
194;174;1002;
195;163;1002;
196;172;1002;
197;174;1002;
198;160;1002;
199;174;1002;
200;161;1002;
