tick;time;drops
0;120;44268
1;187;44268
2;169;43922
3;190;43605
4;158;43295
5;158;43005
6;170;42724
7;182;42462
8;179;42197
9;182;41949
10;192;41721
11;192;41499
12;201;41294
13;199;41097
14;210;40905
15;203;40718
16;220;40540
17;209;40369
18;219;40210
19;217;40070
20;223;39924
21;220;39782
22;234;39640
23;225;39501
24;236;39366
25;225;39227
26;231;39092
27;243;38954
28;229;38822
29;246;38698
30;238;38576
31;246;38467
32;244;38355
33;241;38239
34;247;38118
35;243;37996
36;251;37870
37;250;37743
38;241;37615
39;253;37488
40;255;37360
41;243;37234
42;254;37112
43;260;36995
44;257;36886
45;265;36779
46;257;36682
47;254;36589
48;252;36500
49;262;36412
50;249;36330
51;255;36257
52;259;36187
53;253;36117
54;262;36061
55;262;36010
56;256;35965
57;256;35926
58;259;35892
59;261;35864
60;256;35843
61;269;35825
62;269;35807
63;259;35793
64;263;35781
65;271;35773
66;259;35766
67;265;35764
68;267;35763
69;267;35763
70;257;35763
71;270;35763
72;268;35763
73;261;35763
74;269;35763
75;271;35763
76;268;35763
77;264;35763
78;270;35763
79;269;35763
80;263;35763
81;275;35763
82;273;35763
83;268;35763
84;262;35763
85;275;35763
86;268;35763
87;273;35763
88;266;35763
89;277;35763
90;270;35763
91;267;35763
92;271;35763
93;276;35763
94;279;35763
95;267;35763
96;275;35763
97;274;35763
98;273;35763
99;270;35763
100;277;35763
101;274;35763
102;273;35763
103;270;35763
104;275;35763
105;281;35763
106;273;35763
107;270;35763
108;272;35763
109;284;35763
110;272;35763
111;269;35763
112;277;35763
113;276;35763
114;276;35763
115;271;35763
116;277;35763
117;282;35763
118;271;35763
119;267;35763
120;279;35763
121;275;35763
122;274;35763
123;270;35763
124;280;35763
125;277;35763
126;276;35763
127;268;35763
128;274;35763
129;278;35763
130;273;35763
131;272;35763
132;274;35763
133;274;35763
134;275;35763
135;272;35763
136;277;35763
137;272;35763
138;272;35763
139;273;35763
140;278;35763
141;281;35763
142;278;35763
143;267;35763
144;279;35763
145;276;35763
146;274;35763
147;271;35763
148;278;35763
149;279;35763
150;267;35763
151;266;35763
152;274;35763
153;278;35763
154;273;35763
155;271;35763
156;281;35763
157;269;35763
158;272;35763
159;266;35763
160;276;35763
161;270;35763
162;275;35763
163;271;35763
164;276;35763
165;276;35763
166;274;35763
167;266;35763
168;279;35763
169;275;35763
170;274;35763
171;272;35763
172;276;35763
173;277;35763
174;275;35763
175;262;35763
176;274;35763
177;278;35763
178;275;35763
179;267;35763
180;276;35763
181;271;35763
182;270;35763
183;269;35763
184;272;35763
185;273;35763
186;277;35763
187;268;35763
188;280;35763
189;271;35763
190;275;35763
191;267;35763
192;276;35763
193;276;35763
194;270;35763
195;279;35763
196;278;35763
197;280;35763
198;270;35763
199;278;35763
200;281;35763
201;276;35763
202;268;35763
203;271;35763
204;284;35763
205;272;35763
206;270;35763
207;275;35763
208;277;35763
209;276;35763
210;268;35763
211;276;35763
212;277;35763
213;274;35763
214;272;35763
215;271;35763
216;281;35763
217;270;35763
218;273;35763
219;273;35763
220;279;35763
221;274;35763
222;270;35763
223;275;35763
224;273;35763
225;273;35763
226;263;35763
227;279;35763
228;280;35763
229;275;35763
230;272;35763
231;273;35763
232;279;35763
233;275;35763
234;273;35763
235;275;35763
236;277;35763
237;277;35763
238;270;35763
239;271;35763
240;274;35763
241;268;35763
242;270;35763
243;273;35763
244;280;35763
245;275;35763
246;265;35763
247;272;35763
248;278;35763
249;271;35763
250;266;35763
251;277;35763
252;277;35763
253;273;35763
254;269;35763
255;272;35763
256;276;35763
257;271;35763
258;262;35763
259;284;35763
260;282;35763
261;272;35763
262;274;35763
263;270;35763
264;283;35763
265;271;35763
266;269;35763
267;278;35763
268;275;35763
269;274;35763
270;271;35763
271;273;35763
272;276;35763
273;271;35763
274;268;35763
275;275;35763
276;277;35763
277;271;35763
278;275;35763
279;279;35763
280;280;35763
281;276;35763
282;269;35763
283;278;35763
284;281;35763
285;276;35763
286;268;35763
287;276;35763
288;279;35763
289;269;35763
290;262;35763
291;277;35763
292;279;35763
293;270;35763
294;265;35763
295;279;35763
296;277;35763
297;276;35763
298;272;35763
299;275;35763
300;281;35763
