tick;time;drops
0;123;44268
1;167;44268
2;165;43922
3;189;43605
4;154;43295
5;162;43005
6;170;42724
7;185;42462
8;187;42197
9;188;41949
10;193;41721
11;199;41499
12;202;41294
13;200;41097
14;210;40905
15;209;40718
16;211;40540
17;220;40369
18;221;40210
19;219;40070
20;225;39924
21;220;39782
22;235;39640
23;224;39501
24;236;39366
25;226;39227
26;239;39092
27;238;38954
28;235;38822
29;249;38698
30;239;38576
31;246;38467
32;245;38355
33;245;38239
34;249;38118
35;245;37996
36;255;37870
37;252;37743
38;243;37615
39;253;37488
40;257;37360
41;251;37234
42;258;37112
43;256;36995
44;250;36886
45;257;36779
46;259;36682
47;252;36589
48;260;36500
49;264;36412
50;253;36330
51;260;36257
52;258;36187
53;255;36117
54;262;36061
55;265;36010
56;253;35965
57;258;35926
58;268;35892
59;258;35864
60;260;35843
61;269;35825
62;263;35807
63;257;35793
64;269;35781
65;267;35773
66;263;35766
67;264;35764
68;270;35763
69;265;35763
70;263;35763
71;269;35763
72;267;35763
73;258;35763
74;273;35763
75;269;35763
76;271;35763
77;265;35763
78;276;35763
79;270;35763
80;265;35763
81;274;35763
82;278;35763
83;269;35763
84;264;35763
85;278;35763
86;274;35763
87;276;35763
88;267;35763
89;276;35763
90;274;35763
91;273;35763
92;271;35763
93;279;35763
94;273;35763
95;272;35763
96;276;35763
97;276;35763
98;276;35763
99;276;35763
100;275;35763
101;280;35763
102;269;35763
103;269;35763
104;281;35763
105;276;35763
106;278;35763
107;269;35763
108;282;35763
109;273;35763
110;276;35763
111;267;35763
112;274;35763
113;282;35763
114;273;35763
115;272;35763
116;276;35763
117;274;35763
118;273;35763
119;273;35763
120;283;35763
121;280;35763
122;275;35763
123;267;35763
124;275;35763
125;278;35763
126;277;35763
127;270;35763
128;277;35763
129;276;35763
130;281;35763
131;269;35763
132;277;35763
133;273;35763
134;279;35763
135;270;35763
136;280;35763
137;274;35763
138;278;35763
139;269;35763
140;278;35763
141;276;35763
142;283;35763
143;269;35763
144;281;35763
145;273;35763
146;276;35763
147;265;35763
148;279;35763
149;277;35763
150;276;35763
151;271;35763
152;282;35763
153;277;35763
154;277;35763
155;268;35763
156;285;35763
157;274;35763
158;279;35763
159;276;35763
160;281;35763
161;274;35763
162;272;35763
163;274;35763
164;284;35763
165;275;35763
166;274;35763
167;272;35763
168;277;35763
169;280;35763
170;272;35763
171;272;35763
172;281;35763
173;276;35763
174;268;35763
175;277;35763
176;279;35763
177;278;35763
178;272;35763
179;279;35763
180;280;35763
181;283;35763
182;268;35763
183;276;35763
184;282;35763
185;274;35763
186;268;35763
187;274;35763
188;280;35763
189;275;35763
190;271;35763
191;279;35763
192;274;35763
193;275;35763
194;273;35763
195;280;35763
196;278;35763
197;275;35763
198;266;35763
199;276;35763
200;279;35763
201;277;35763
202;276;35763
203;277;35763
204;282;35763
205;274;35763
206;271;35763
207;277;35763
208;278;35763
209;273;35763
210;265;35763
211;279;35763
212;281;35763
213;276;35763
214;268;35763
215;272;35763
216;277;35763
217;274;35763
218;272;35763
219;279;35763
220;281;35763
221;274;35763
222;270;35763
223;274;35763
224;287;35763
225;277;35763
226;273;35763
227;274;35763
228;277;35763
229;279;35763
230;266;35763
231;280;35763
232;279;35763
233;272;35763
234;275;35763
235;274;35763
236;282;35763
237;274;35763
238;268;35763
239;272;35763
240;283;35763
241;282;35763
242;271;35763
243;279;35763
244;278;35763
245;276;35763
246;270;35763
247;279;35763
248;286;35763
249;274;35763
250;269;35763
251;277;35763
252;276;35763
253;275;35763
254;270;35763
255;279;35763
256;278;35763
257;276;35763
258;275;35763
259;279;35763
260;281;35763
261;271;35763
262;270;35763
263;279;35763
264;277;35763
265;279;35763
266;269;35763
267;276;35763
268;278;35763
269;276;35763
270;275;35763
271;274;35763
272;287;35763
273;281;35763
274;265;35763
275;286;35763
276;276;35763
277;279;35763
278;273;35763
279;276;35763
280;285;35763
281;273;35763
282;270;35763
283;278;35763
284;279;35763
285;280;35763
286;274;35763
287;284;35763
288;277;35763
289;273;35763
290;268;35763
291;278;35763
292;283;35763
293;281;35763
294;269;35763
295;275;35763
296;275;35763
297;272;35763
298;270;35763
299;277;35763
300;283;35763
