tick;time;time_patch;time_drop;drops;time_patch_getLocation;time_patch_dropsHere;time_patch_actions;time_drop_getLocation;time_drop_patchHere;time_drop_remove;time_drop_move
0;228;153;73;44268;17;93;22;12;12;0;33
1;156;45;95;44268;10;16;7;9;13;37;21
2;133;54;78;43922;12;22;8;10;11;20;21
3;140;41;99;43605;9;15;6;11;26;17;28
4;101;36;64;43295;8;13;5;9;11;16;18
5;106;38;66;43005;9;14;5;9;11;16;18
6;102;38;64;42724;9;13;6;10;11;14;18
7;113;42;71;42462;9;16;7;9;14;15;21
8;116;46;70;42197;9;18;9;9;15;14;20
9;131;73;57;41949;9;48;7;9;9;12;15
10;94;37;57;41721;8;13;6;9;9;12;16
11;93;38;55;41499;8;13;7;9;10;10;15
12;97;41;56;41294;9;14;7;10;10;10;15
13;94;41;53;41097;10;14;7;9;9;9;14
14;85;36;49;40905;8;12;6;8;9;9;13
15;92;40;51;40718;9;14;7;9;9;8;14
16;88;39;49;40540;9;13;7;8;9;9;13
17;89;41;48;40369;10;14;7;9;9;7;13
18;109;38;70;40210;9;13;7;9;32;7;13
19;87;40;46;40070;9;13;7;9;9;7;12
20;80;36;44;39924;8;12;6;8;8;7;12
21;88;40;47;39782;10;13;7;9;9;7;13
22;81;37;43;39640;8;12;7;8;8;6;12
23;83;38;45;39501;8;13;7;9;8;6;12
24;83;38;44;39366;9;13;7;8;8;6;11
25;85;39;46;39227;9;13;7;9;8;7;12
26;82;37;45;39092;8;12;6;8;8;8;12
27;88;39;44;38954;9;13;7;8;8;6;12
28;81;37;44;38822;9;12;7;8;8;6;12
29;86;43;42;38698;8;16;9;7;8;6;11
30;98;48;50;38576;10;17;10;8;12;6;15
31;100;49;51;38467;10;18;10;9;12;6;15
32;98;47;51;38355;9;18;9;9;11;6;15
33;97;52;44;38239;9;26;7;8;8;7;11
34;81;42;39;38118;9;13;8;8;8;2;11
35;76;38;38;37996;8;12;7;8;8;2;11
36;76;37;38;37870;8;12;7;8;7;2;11
37;78;40;38;37743;9;13;7;8;8;2;11
38;79;37;40;37615;8;12;7;9;8;2;11
39;78;37;41;37488;8;12;7;9;8;2;12
40;78;39;39;37360;9;13;7;9;8;2;11
41;78;37;40;37234;8;12;7;9;8;2;11
42;78;39;39;37112;9;13;7;9;7;2;11
43;78;37;41;36995;8;12;7;9;8;2;12
44;71;36;35;36886;8;12;7;7;7;2;10
45;76;41;35;36779;10;14;7;7;7;1;11
46;73;37;36;36682;8;12;7;7;7;1;11
47;88;37;51;36589;8;12;7;9;19;1;11
48;70;36;34;36500;8;12;7;7;7;1;10
49;77;40;36;36412;10;13;7;8;7;1;11
50;74;39;35;36330;9;13;7;8;7;1;11
51;75;37;38;36257;8;12;7;9;8;1;11
52;70;37;33;36187;8;12;7;7;7;1;10
53;76;42;34;36117;10;14;7;7;7;1;10
54;71;36;35;36061;8;11;7;7;7;1;10
55;73;36;37;36010;8;12;7;8;7;1;11
56;77;40;37;35965;10;13;7;9;7;0;11
57;75;38;37;35926;9;12;7;9;7;0;11
58;69;36;33;35892;8;12;7;7;7;0;10
59;75;42;33;35864;10;14;7;7;7;0;10
60;70;36;34;35843;8;11;7;8;7;0;11
61;72;36;36;35825;8;12;7;8;7;0;11
62;80;39;41;35807;9;13;7;9;10;0;13
63;88;46;41;35793;9;18;10;8;11;0;12
64;88;47;41;35781;9;18;10;8;12;0;12
65;88;47;41;35773;9;18;10;8;12;0;12
66;85;44;41;35766;8;16;9;8;11;0;13
67;88;46;42;35764;9;18;9;8;12;0;12
68;81;43;38;35763;8;16;9;7;12;0;11
69;85;50;34;35763;9;14;16;8;7;0;11
70;72;38;33;35763;9;12;7;7;7;0;11
71;72;39;33;35763;9;12;7;8;6;0;11
72;68;37;31;35763;8;12;7;6;7;0;10
73;73;41;31;35763;10;14;7;7;6;0;10
74;67;35;32;35763;8;11;7;7;6;0;11
75;76;38;37;35763;9;12;7;9;8;0;12
76;74;37;36;35763;9;12;7;9;7;0;12
77;74;39;35;35763;9;13;7;8;7;0;11
78;74;37;37;35763;8;12;7;9;7;0;12
79;73;37;36;35763;8;12;7;8;7;0;12
80;69;38;31;35763;9;12;7;6;6;0;11
81;74;41;32;35763;10;14;7;7;6;0;11
82;68;36;32;35763;8;12;7;7;6;0;11
83;76;38;37;35763;9;13;7;9;7;0;12
84;70;37;32;35763;8;12;7;6;7;0;11
85;76;44;32;35763;10;15;8;6;6;0;11
86;70;36;34;35763;8;11;7;8;7;0;11
87;73;37;36;35763;8;12;7;8;7;0;12
88;71;39;32;35763;9;12;7;6;7;0;11
89;76;41;33;35763;10;13;7;7;7;0;11
90;74;36;38;35763;8;11;7;6;13;0;11
91;76;40;35;35763;9;15;7;7;7;0;12
92;71;39;32;35763;9;12;7;7;6;0;11
93;74;39;35;35763;9;12;7;8;7;0;12
94;72;37;35;35763;8;12;7;8;6;0;12
95;72;37;35;35763;8;12;7;8;6;0;12
96;72;39;33;35763;9;12;7;6;7;0;12
97;80;47;33;35763;10;19;8;7;7;0;12
98;69;36;33;35763;8;12;7;7;6;0;11
99;74;38;36;35763;9;12;7;8;7;0;12
100;74;40;34;35763;10;13;7;8;6;0;12
