tick;time;time_patch;time_drop;drops;
0;555;182;371;164687;
1;11631;116;11197;164679;
2;4552;47;4225;112299;
3;2981;39;2705;87485;
4;1984;36;1730;70139;
5;1552;186;1164;57295;
6;1049;30;829;47568;
7;836;29;623;39992;
8;698;28;492;34012;
9;626;27;412;29204;
10;538;26;334;25321;
11;492;23;296;22114;
12;458;22;264;19482;
13;436;22;243;17298;
14;413;30;218;15440;
15;401;24;211;13850;
16;391;21;200;12473;
17;375;20;188;11309;
18;504;15;179;10308;
19;371;19;183;9462;
20;356;19;173;8738;
21;349;18;167;8108;
22;347;18;165;7560;
23;343;19;162;7071;
24;350;23;166;6639;
25;344;18;160;6255;
26;340;17;160;5908;
27;337;18;156;5587;
28;338;17;158;5304;
29;334;17;155;5048;
30;338;17;158;4818;
31;337;24;154;4609;
32;337;21;154;4416;
33;338;24;155;4245;
34;337;22;156;4086;
35;330;16;153;3940;
36;451;149;141;3806;
37;334;17;154;3680;
38;329;17;150;3565;
39;330;21;152;3457;
40;326;16;150;3363;
41;325;16;149;3276;
42;328;16;151;3195;
43;326;16;150;3123;
44;326;16;149;3055;
45;329;16;152;2991;
46;326;17;150;2935;
47;328;16;152;2880;
48;324;16;148;2827;
49;330;16;154;2777;
50;324;17;148;2731;
51;330;16;157;2689;
52;324;16;149;2651;
53;328;16;152;2613;
54;324;19;146;2576;
55;331;23;152;2541;
56;323;16;149;2508;
57;328;18;151;2478;
58;458;17;153;2450;
59;337;24;150;2424;
60;333;20;152;2398;
61;326;16;149;2374;
62;323;16;147;2351;
63;323;16;147;2329;
64;328;16;152;2307;
65;323;16;147;2286;
66;328;21;150;2265;
67;328;23;149;2246;
68;323;16;147;2227;
69;333;16;160;2208;
70;324;16;149;2190;
71;325;16;151;2173;
72;325;17;149;2157;
73;327;16;152;2141;
74;329;22;150;2125;
75;331;23;151;2109;
76;325;16;149;2093;
77;326;16;152;2077;
78;330;23;152;2063;
79;445;144;142;2049;
80;326;22;150;2035;
81;330;18;146;2021;
82;326;15;151;2008;
83;329;22;149;1996;
84;323;16;148;1985;
85;329;17;153;1974;
86;324;17;148;1964;
87;328;18;148;1955;
88;322;16;148;1946;
89;331;26;148;1938;
90;328;16;152;1930;
91;331;21;151;1923;
92;327;16;153;1916;
93;327;16;151;1909;
94;322;16;147;1902;
95;323;16;148;1895;
96;327;21;150;1888;
97;323;16;148;1882;
98;331;22;153;1877;
99;326;16;149;1872;
100;333;22;154;1868;
101;325;22;150;1864;
102;441;143;140;1860;
103;323;16;148;1856;
104;330;16;153;1852;
105;324;15;148;1848;
106;325;18;149;1844;
107;322;16;147;1840;
108;324;16;150;1836;
109;322;16;147;1833;
110;323;16;147;1830;
111;325;16;151;1827;
112;322;15;148;1824;
113;327;23;148;1821;
114;328;17;151;1818;
115;326;16;148;1815;
116;324;16;147;1812;
117;328;16;152;1809;
118;328;16;151;1807;
119;323;16;147;1805;
120;326;16;151;1803;
121;324;16;148;1801;
122;327;16;151;1799;
123;333;24;151;1797;
124;326;16;150;1796;
125;467;20;156;1795;
126;336;18;151;1794;
127;328;16;148;1793;
128;334;24;150;1792;
129;323;16;149;1791;
130;325;16;149;1790;
131;177;16;1;1789;
132;325;16;0;1789;
133;331;16;1;1789;
134;324;15;0;1789;
135;328;16;0;1789;
136;324;16;0;1789;
137;326;16;0;1789;
138;330;16;0;1789;
139;327;16;1;1789;
140;327;16;0;1789;
141;326;17;0;1789;
142;328;16;0;1789;
143;327;16;0;1789;
144;332;16;1;1789;
145;326;15;0;1789;
146;336;16;0;1789;
147;326;16;0;1789;
148;459;145;1;1789;
149;315;16;0;1789;
150;330;16;0;1789;
151;325;15;0;1789;
152;329;15;0;1789;
153;326;16;0;1789;
154;328;16;1;1789;
155;343;21;0;1789;
156;322;16;0;1789;
157;329;16;1;1789;
158;326;16;0;1789;
159;330;16;0;1789;
160;332;16;0;1789;
161;330;17;0;1789;
162;327;16;0;1789;
163;332;17;0;1789;
164;329;16;1;1789;
165;329;16;1;1789;
166;329;16;0;1789;
167;329;16;0;1789;
168;330;16;0;1789;
169;329;15;0;1789;
170;327;16;0;1789;
171;428;136;0;1789;
172;278;11;0;1789;
173;286;16;0;1789;
174;330;16;0;1789;
175;327;15;0;1789;
176;330;16;0;1789;
177;332;16;0;1789;
178;331;16;1;1789;
179;326;15;0;1789;
180;327;16;1;1789;
181;333;17;0;1789;
182;331;16;1;1789;
183;330;16;0;1789;
184;327;16;0;1789;
185;332;17;0;1789;
186;329;16;0;1789;
187;330;17;0;1789;
188;324;16;0;1789;
189;329;18;0;1789;
190;329;17;0;1789;
191;318;16;1;1789;
192;323;15;0;1789;
193;328;16;0;1789;
194;327;16;1;1789;
195;461;147;0;1789;
196;326;19;0;1789;
197;360;17;0;1789;
198;354;16;1;1789;
199;358;19;0;1789;
200;359;17;0;1789;
