tick;time;time_patch;time_drop;drops;
0;593;70;520;164687;
1;11383;120;10959;164679;
2;4916;48;4595;112299;
3;2912;43;2641;87485;
4;1934;38;1687;70139;
5;1371;35;1140;57295;
6;1036;34;821;47568;
7;1002;31;618;39992;
8;687;30;482;34012;
9;613;28;407;29204;
10;533;34;333;25321;
11;486;25;293;22114;
12;449;24;261;19482;
13;426;32;236;17298;
14;405;22;221;15440;
15;390;21;207;13850;
16;374;21;194;12473;
17;376;27;191;11309;
18;361;20;180;10308;
19;360;19;182;9462;
20;350;19;173;8738;
21;352;25;171;8108;
22;502;183;159;7560;
23;354;19;173;7071;
24;352;26;166;6639;
25;345;26;161;6255;
26;345;24;164;5908;
27;342;19;165;5587;
28;336;18;160;5304;
29;335;18;161;5048;
30;330;17;156;4818;
31;335;18;158;4609;
32;332;18;158;4416;
33;331;18;158;4245;
34;328;18;154;4086;
35;332;17;159;3940;
36;329;18;155;3806;
37;329;17;156;3680;
38;333;25;155;3565;
39;337;25;159;3457;
40;326;18;153;3363;
41;325;17;152;3276;
42;336;23;157;3195;
43;332;25;153;3123;
44;484;18;162;3055;
45;332;18;154;2991;
46;337;23;158;2935;
47;331;17;160;2880;
48;327;18;153;2827;
49;328;17;154;2777;
50;327;18;152;2731;
51;327;17;154;2689;
52;323;17;151;2651;
53;332;21;155;2613;
54;334;27;153;2576;
55;328;17;155;2541;
56;324;17;152;2508;
57;328;19;154;2478;
58;315;16;152;2450;
59;327;17;155;2424;
60;325;17;153;2398;
61;323;17;152;2374;
62;334;24;155;2351;
63;326;18;154;2329;
64;327;17;155;2307;
65;328;17;155;2286;
66;324;18;151;2265;
67;470;167;148;2246;
68;330;18;154;2227;
69;327;17;155;2208;
70;323;17;152;2190;
71;326;18;153;2173;
72;325;17;151;2157;
73;328;17;156;2141;
74;323;16;150;2125;
75;329;17;158;2109;
76;324;20;149;2093;
77;322;18;150;2077;
78;323;17;151;2063;
79;325;17;154;2049;
80;328;22;157;2035;
81;327;18;155;2021;
82;324;17;152;2008;
83;328;17;156;1996;
84;324;18;152;1985;
85;325;18;153;1974;
86;321;17;150;1964;
87;324;17;153;1955;
88;332;24;155;1946;
89;325;17;153;1938;
90;334;26;154;1930;
91;464;170;142;1923;
92;337;25;158;1916;
93;330;18;157;1909;
94;326;18;153;1902;
95;326;17;155;1895;
96;322;17;151;1888;
97;324;17;153;1882;
98;328;24;152;1877;
99;325;17;154;1872;
100;322;17;152;1868;
101;322;17;154;1864;
102;323;17;151;1860;
103;321;17;151;1856;
104;325;17;154;1852;
105;330;24;154;1848;
106;322;17;150;1844;
107;323;17;150;1840;
108;329;26;150;1836;
109;322;17;150;1833;
110;329;24;153;1830;
111;324;17;152;1827;
112;327;17;154;1824;
113;330;21;156;1821;
114;331;22;157;1818;
115;321;17;150;1815;
116;464;164;145;1812;
117;325;17;152;1809;
118;325;17;155;1807;
119;327;23;152;1805;
120;324;18;151;1803;
121;330;24;154;1801;
122;325;18;151;1799;
123;327;18;153;1797;
124;327;22;148;1796;
125;333;23;156;1795;
126;326;17;152;1794;
127;325;17;153;1793;
128;329;22;155;1792;
129;326;25;150;1791;
130;331;23;155;1790;
131;171;17;0;1789;
132;328;17;0;1789;
133;330;17;1;1789;
134;323;18;0;1789;
135;333;18;0;1789;
136;333;19;0;1789;
137;329;18;0;1789;
138;333;17;0;1789;
139;330;17;0;1789;
140;331;17;0;1789;
141;332;17;0;1789;
142;470;18;1;1789;
143;329;17;1;1789;
144;330;17;0;1789;
145;334;18;1;1789;
146;334;17;1;1789;
147;337;19;0;1789;
148;332;18;1;1789;
149;329;17;0;1789;
150;339;19;0;1789;
151;331;18;1;1789;
152;334;19;0;1789;
153;330;18;0;1789;
154;348;30;1;1789;
155;332;17;0;1789;
156;330;18;1;1789;
157;334;17;0;1789;
158;335;17;0;1789;
159;332;18;0;1789;
160;326;17;0;1789;
161;331;17;0;1789;
162;331;17;0;1789;
163;329;17;0;1789;
164;327;15;0;1789;
165;328;17;1;1789;
166;328;17;0;1789;
167;326;17;1;1789;
168;479;166;0;1789;
169;321;17;0;1789;
170;330;17;0;1789;
171;329;17;1;1789;
172;330;19;0;1789;
173;326;17;0;1789;
174;327;17;0;1789;
175;327;17;0;1789;
176;326;17;0;1789;
177;326;17;1;1789;
178;327;16;0;1789;
179;324;17;0;1789;
180;327;17;1;1789;
181;329;17;0;1789;
182;326;17;0;1789;
183;332;17;1;1789;
184;330;17;0;1789;
185;332;17;0;1789;
186;332;17;1;1789;
187;329;18;0;1789;
188;336;20;1;1789;
189;333;17;0;1789;
190;329;17;0;1789;
191;332;17;0;1789;
192;328;17;0;1789;
193;333;18;0;1789;
194;470;163;1;1789;
195;319;17;0;1789;
196;331;18;1;1789;
197;334;17;0;1789;
198;327;17;0;1789;
199;333;17;0;1789;
200;332;17;0;1789;
