tick;time;drops;
0;0;164687;
1;1976;164679;
2;5816;112299;
3;2728;87485;
4;1930;70139;
5;1477;57295;
6;1261;47568;
7;1038;39992;
8;943;34012;
9;884;29204;
10;830;25321;
11;785;22114;
12;693;19482;
13;686;17298;
14;674;15440;
15;664;13850;
16;614;12473;
17;644;11309;
18;637;10308;
19;637;9462;
20;583;8738;
21;583;8108;
22;592;7560;
23;560;7071;
24;602;6639;
25;555;6255;
26;585;5908;
27;535;5587;
28;556;5304;
29;523;5048;
30;524;4818;
31;517;4609;
32;518;4416;
33;520;4245;
34;497;4086;
35;499;3940;
36;488;3806;
37;491;3680;
38;489;3565;
39;499;3457;
40;478;3363;
41;492;3276;
42;470;3195;
43;480;3123;
44;475;3055;
45;475;2991;
46;472;2935;
47;474;2880;
48;474;2827;
49;465;2777;
50;471;2731;
51;464;2689;
52;470;2651;
53;467;2613;
54;469;2576;
55;466;2541;
56;469;2508;
57;473;2478;
58;460;2450;
59;462;2424;
60;458;2398;
61;464;2374;
62;471;2351;
63;464;2329;
64;452;2307;
65;453;2286;
66;459;2265;
67;468;2246;
68;460;2227;
69;467;2208;
70;462;2190;
71;484;2173;
72;440;2157;
73;455;2141;
74;466;2125;
75;456;2109;
76;461;2093;
77;485;2077;
78;471;2063;
79;446;2049;
80;459;2035;
81;469;2021;
82;458;2008;
83;453;1996;
84;450;1985;
85;448;1974;
86;460;1964;
87;454;1955;
88;443;1946;
89;455;1938;
90;448;1930;
91;461;1923;
92;459;1916;
93;456;1909;
94;461;1902;
95;463;1895;
96;455;1888;
97;445;1882;
98;456;1877;
99;444;1872;
100;450;1868;
101;607;1864;
102;455;1860;
103;452;1856;
104;463;1852;
105;457;1848;
106;457;1844;
107;452;1840;
108;450;1836;
109;459;1833;
110;459;1830;
111;462;1827;
112;449;1824;
113;453;1821;
114;439;1818;
115;448;1815;
116;454;1812;
117;457;1809;
118;449;1807;
119;444;1805;
120;452;1803;
121;453;1801;
122;459;1799;
123;453;1797;
124;453;1796;
125;446;1795;
126;472;1794;
127;471;1793;
128;514;1792;
129;455;1791;
130;452;1790;
131;442;1789;
132;448;1789;
133;453;1789;
134;466;1789;
135;453;1789;
136;449;1789;
137;442;1789;
138;460;1789;
139;448;1789;
140;447;1789;
141;461;1789;
142;435;1789;
143;458;1789;
144;467;1789;
145;458;1789;
146;456;1789;
147;446;1789;
148;447;1789;
149;449;1789;
150;453;1789;
151;456;1789;
152;455;1789;
153;449;1789;
154;442;1789;
155;455;1789;
156;448;1789;
157;454;1789;
158;455;1789;
159;446;1789;
160;461;1789;
161;463;1789;
162;453;1789;
163;455;1789;
164;453;1789;
165;438;1789;
166;448;1789;
167;449;1789;
168;456;1789;
169;446;1789;
170;456;1789;
171;438;1789;
172;444;1789;
173;449;1789;
174;441;1789;
175;447;1789;
176;450;1789;
177;464;1789;
178;451;1789;
179;465;1789;
180;450;1789;
181;458;1789;
182;449;1789;
183;455;1789;
184;463;1789;
185;455;1789;
186;448;1789;
187;455;1789;
188;448;1789;
189;464;1789;
190;454;1789;
191;454;1789;
192;455;1789;
193;455;1789;
194;457;1789;
195;454;1789;
196;461;1789;
197;470;1789;
198;457;1789;
199;449;1789;
200;454;1789;
