tick;time;drops;
0;0;164687;
1;2057;164679;
2;5985;112299;
3;4270;87485;
4;1824;70139;
5;1490;57295;
6;1158;47568;
7;998;39992;
8;921;34012;
9;805;29204;
10;802;25321;
11;745;22114;
12;703;19482;
13;682;17298;
14;654;15440;
15;600;13850;
16;606;12473;
17;587;11309;
18;600;10308;
19;572;9462;
20;573;8738;
21;570;8108;
22;587;7560;
23;548;7071;
24;558;6639;
25;540;6255;
26;534;5908;
27;524;5587;
28;525;5304;
29;518;5048;
30;507;4818;
31;495;4609;
32;500;4416;
33;484;4245;
34;480;4086;
35;486;3940;
36;525;3806;
37;518;3680;
38;509;3565;
39;505;3457;
40;527;3363;
41;458;3276;
42;472;3195;
43;469;3123;
44;465;3055;
45;457;2991;
46;462;2935;
47;462;2880;
48;451;2827;
49;457;2777;
50;446;2731;
51;453;2689;
52;458;2651;
53;452;2613;
54;469;2576;
55;453;2541;
56;446;2508;
57;462;2478;
58;452;2450;
59;449;2424;
60;451;2398;
61;458;2374;
62;451;2351;
63;447;2329;
64;449;2307;
65;450;2286;
66;446;2265;
67;426;2246;
68;438;2227;
69;451;2208;
70;443;2190;
71;453;2173;
72;450;2157;
73;446;2141;
74;441;2125;
75;434;2109;
76;438;2093;
77;440;2077;
78;453;2063;
79;444;2049;
80;446;2035;
81;456;2021;
82;440;2008;
83;444;1996;
84;443;1985;
85;449;1974;
86;438;1964;
87;442;1955;
88;434;1946;
89;449;1938;
90;458;1930;
91;456;1923;
92;479;1916;
93;445;1909;
94;440;1902;
95;433;1895;
96;440;1888;
97;437;1882;
98;449;1877;
99;446;1872;
100;450;1868;
101;435;1864;
102;442;1860;
103;443;1856;
104;467;1852;
105;449;1848;
106;438;1844;
107;432;1840;
108;459;1836;
109;440;1833;
110;443;1830;
111;439;1827;
112;449;1824;
113;431;1821;
114;452;1818;
115;442;1815;
116;448;1812;
117;441;1809;
118;435;1807;
119;440;1805;
120;446;1803;
121;449;1801;
122;454;1799;
123;448;1797;
124;428;1796;
125;460;1795;
126;458;1794;
127;445;1793;
128;438;1792;
129;440;1791;
130;434;1790;
131;434;1789;
132;438;1789;
133;446;1789;
134;438;1789;
135;429;1789;
136;439;1789;
137;435;1789;
138;438;1789;
139;444;1789;
140;440;1789;
141;434;1789;
142;439;1789;
143;438;1789;
144;447;1789;
145;444;1789;
146;451;1789;
147;431;1789;
148;437;1789;
149;441;1789;
150;438;1789;
151;439;1789;
152;432;1789;
153;443;1789;
154;449;1789;
155;457;1789;
156;443;1789;
157;441;1789;
158;435;1789;
159;450;1789;
160;442;1789;
161;454;1789;
162;449;1789;
163;438;1789;
164;432;1789;
165;442;1789;
166;447;1789;
167;445;1789;
168;446;1789;
169;427;1789;
170;435;1789;
171;440;1789;
172;452;1789;
173;444;1789;
174;437;1789;
175;433;1789;
176;439;1789;
177;451;1789;
178;447;1789;
179;443;1789;
180;449;1789;
181;433;1789;
182;448;1789;
183;439;1789;
184;445;1789;
185;435;1789;
186;426;1789;
187;438;1789;
188;446;1789;
189;523;1789;
190;511;1789;
191;456;1789;
192;436;1789;
193;438;1789;
194;443;1789;
195;436;1789;
196;443;1789;
197;441;1789;
198;450;1789;
199;444;1789;
200;443;1789;
