tick;time;drops;
0;0;164687;
1;1575;164679;
2;5668;112299;
3;2731;87485;
4;1911;70139;
5;1504;57295;
6;1244;47568;
7;1107;39992;
8;971;34012;
9;890;29204;
10;843;25321;
11;795;22114;
12;733;19482;
13;748;17298;
14;693;15440;
15;669;13850;
16;663;12473;
17;665;11309;
18;636;10308;
19;626;9462;
20;574;8738;
21;596;8108;
22;602;7560;
23;586;7071;
24;570;6639;
25;559;6255;
26;542;5908;
27;539;5587;
28;542;5304;
29;517;5048;
30;518;4818;
31;510;4609;
32;508;4416;
33;526;4245;
34;502;4086;
35;491;3940;
36;501;3806;
37;499;3680;
38;486;3565;
39;483;3457;
40;486;3363;
41;479;3276;
42;480;3195;
43;484;3123;
44;471;3055;
45;476;2991;
46;472;2935;
47;482;2880;
48;470;2827;
49;472;2777;
50;474;2731;
51;466;2689;
52;463;2651;
53;470;2613;
54;456;2576;
55;458;2541;
56;458;2508;
57;457;2478;
58;468;2450;
59;461;2424;
60;470;2398;
61;458;2374;
62;462;2351;
63;460;2329;
64;463;2307;
65;443;2286;
66;462;2265;
67;476;2246;
68;478;2227;
69;486;2208;
70;481;2190;
71;468;2173;
72;454;2157;
73;451;2141;
74;458;2125;
75;468;2109;
76;456;2093;
77;456;2077;
78;456;2063;
79;443;2049;
80;457;2035;
81;466;2021;
82;455;2008;
83;464;1996;
84;459;1985;
85;466;1974;
86;458;1964;
87;455;1955;
88;466;1946;
89;466;1938;
90;468;1930;
91;447;1923;
92;459;1916;
93;485;1909;
94;470;1902;
95;461;1895;
96;467;1888;
97;445;1882;
98;461;1877;
99;459;1872;
100;465;1868;
101;454;1864;
102;460;1860;
103;458;1856;
104;469;1852;
105;460;1848;
106;467;1844;
107;454;1840;
108;441;1836;
109;462;1833;
110;460;1830;
111;455;1827;
112;458;1824;
113;436;1821;
114;454;1818;
115;462;1815;
116;459;1812;
117;456;1809;
118;454;1807;
119;468;1805;
120;473;1803;
121;457;1801;
122;464;1799;
123;444;1797;
124;457;1796;
125;460;1795;
126;458;1794;
127;490;1793;
128;467;1792;
129;454;1791;
130;457;1790;
131;464;1789;
132;463;1789;
133;455;1789;
134;454;1789;
135;459;1789;
136;462;1789;
137;460;1789;
138;459;1789;
139;445;1789;
140;463;1789;
141;451;1789;
142;468;1789;
143;463;1789;
144;444;1789;
145;460;1789;
146;455;1789;
147;454;1789;
148;478;1789;
149;450;1789;
150;459;1789;
151;458;1789;
152;464;1789;
153;454;1789;
154;473;1789;
155;451;1789;
156;467;1789;
157;470;1789;
158;458;1789;
159;453;1789;
160;450;1789;
161;454;1789;
162;455;1789;
163;465;1789;
164;460;1789;
165;451;1789;
166;455;1789;
167;464;1789;
168;455;1789;
169;459;1789;
170;449;1789;
171;458;1789;
172;472;1789;
173;465;1789;
174;456;1789;
175;450;1789;
176;457;1789;
177;455;1789;
178;456;1789;
179;457;1789;
180;457;1789;
181;445;1789;
182;461;1789;
183;460;1789;
184;468;1789;
185;463;1789;
186;443;1789;
187;454;1789;
188;460;1789;
189;456;1789;
190;467;1789;
191;452;1789;
192;465;1789;
193;452;1789;
194;459;1789;
195;457;1789;
196;456;1789;
197;464;1789;
198;455;1789;
199;462;1789;
200;470;1789;
