tick;time;drops;
0;0;164687;
1;1663;164679;
2;7531;112299;
3;2673;87485;
4;1890;70139;
5;1499;57295;
6;1202;47568;
7;1043;39992;
8;930;34012;
9;856;29204;
10;806;25321;
11;713;22114;
12;708;19482;
13;701;17298;
14;649;15440;
15;631;13850;
16;591;12473;
17;642;11309;
18;601;10308;
19;638;9462;
20;586;8738;
21;592;8108;
22;602;7560;
23;552;7071;
24;576;6639;
25;491;6255;
26;570;5908;
27;517;5587;
28;518;5304;
29;529;5048;
30;507;4818;
31;510;4609;
32;503;4416;
33;502;4245;
34;658;4086;
35;492;3940;
36;489;3806;
37;492;3680;
38;482;3565;
39;504;3457;
40;478;3363;
41;501;3276;
42;507;3195;
43;489;3123;
44;494;3055;
45;529;2991;
46;473;2935;
47;463;2880;
48;469;2827;
49;464;2777;
50;485;2731;
51;463;2689;
52;470;2651;
53;477;2613;
54;464;2576;
55;457;2541;
56;464;2508;
57;466;2478;
58;451;2450;
59;458;2424;
60;453;2398;
61;458;2374;
62;459;2351;
63;466;2329;
64;443;2307;
65;447;2286;
66;458;2265;
67;456;2246;
68;446;2227;
69;450;2208;
70;446;2190;
71;448;2173;
72;456;2157;
73;449;2141;
74;451;2125;
75;439;2109;
76;443;2093;
77;447;2077;
78;431;2063;
79;458;2049;
80;443;2035;
81;444;2021;
82;448;2008;
83;448;1996;
84;440;1985;
85;463;1974;
86;447;1964;
87;441;1955;
88;441;1946;
89;443;1938;
90;433;1930;
91;445;1923;
92;448;1916;
93;437;1909;
94;446;1902;
95;451;1895;
96;426;1888;
97;450;1882;
98;439;1877;
99;448;1872;
100;444;1868;
101;432;1864;
102;447;1860;
103;456;1856;
104;447;1852;
105;435;1848;
106;447;1844;
107;426;1840;
108;459;1836;
109;461;1833;
110;446;1830;
111;451;1827;
112;434;1824;
113;444;1821;
114;442;1818;
115;433;1815;
116;454;1812;
117;441;1809;
118;448;1807;
119;454;1805;
120;450;1803;
121;451;1801;
122;442;1799;
123;434;1797;
124;464;1796;
125;449;1795;
126;448;1794;
127;445;1793;
128;441;1792;
129;454;1791;
130;451;1790;
131;439;1789;
132;442;1789;
133;435;1789;
134;461;1789;
135;459;1789;
136;450;1789;
137;448;1789;
138;431;1789;
139;451;1789;
140;436;1789;
141;432;1789;
142;441;1789;
143;437;1789;
144;441;1789;
145;452;1789;
146;443;1789;
147;451;1789;
148;445;1789;
149;437;1789;
150;432;1789;
151;450;1789;
152;441;1789;
153;439;1789;
154;437;1789;
155;436;1789;
156;442;1789;
157;444;1789;
158;443;1789;
159;446;1789;
160;445;1789;
161;449;1789;
162;444;1789;
163;447;1789;
164;440;1789;
165;441;1789;
166;451;1789;
167;445;1789;
168;439;1789;
169;438;1789;
170;440;1789;
171;450;1789;
172;452;1789;
173;437;1789;
174;453;1789;
175;441;1789;
176;438;1789;
177;442;1789;
178;446;1789;
179;455;1789;
180;442;1789;
181;462;1789;
182;452;1789;
183;454;1789;
184;446;1789;
185;447;1789;
186;450;1789;
187;449;1789;
188;449;1789;
189;450;1789;
190;443;1789;
191;434;1789;
192;441;1789;
193;447;1789;
194;439;1789;
195;434;1789;
196;428;1789;
197;464;1789;
198;462;1789;
199;447;1789;
200;435;1789;
