tick;time;time_patch;time_drop;drops;time_patch_getLocation;time_patch_dropsHere;time_patch_actions;time_drop_getLocation;time_drop_patchHere;time_drop_remove;time_drop_move
0;137;78;59;44268
1;107;35;66;44268
2;100;39;60;43922
3;145;79;65;43605
4;71;25;46;43295
5;77;30;47;43005
6;74;29;45;42724
7;68;27;40;42462
8;85;35;44;42197
9;75;28;47;41949
10;81;34;47;41721
11;93;54;38;41499
12;62;26;36;41294
13;60;27;33;41097
14;64;31;32;40905
15;55;24;30;40718
16;58;27;30;40540
17;61;29;31;40369
18;56;26;30;40210
19;59;24;34;40070
20;67;33;33;39924
21;57;26;30;39782
22;58;30;28;39640
23;56;28;28;39501
24;55;28;27;39366
25;59;27;31;39227
26;56;29;27;39092
27;53;27;26;38954
28;51;24;26;38822
29;66;33;32;38698
30;65;31;34;38576
31;68;34;34;38467
32;69;34;35;38355
33;74;43;30;38239
34;51;25;25;38118
35;55;30;24;37996
36;47;24;23;37870
37;52;26;26;37743
38;49;25;24;37615
39;50;26;24;37488
40;48;24;24;37360
41;51;28;23;37234
42;48;24;23;37112
43;50;25;25;36995
44;47;24;23;36886
45;53;25;28;36779
46;59;26;32;36682
47;50;25;25;36589
48;48;25;23;36500
49;52;28;23;36412
50;52;27;24;36330
51;49;27;22;36257
52;46;24;22;36187
53;52;29;23;36117
54;50;26;23;36061
55;49;27;21;36010
56;51;27;24;35965
57;48;27;21;35926
58;51;26;24;35892
59;49;28;21;35864
60;52;25;27;35843
61;63;34;28;35825
62;60;32;28;35807
63;66;34;31;35793
64;65;35;30;35781
65;65;37;28;35773
66;63;40;23;35766
67;48;27;21;35764
68;52;28;22;35763
69;45;24;21;35763
70;48;26;22;35763
71;47;26;20;35763
72;49;24;24;35763
73;48;26;21;35763
74;53;29;24;35763
75;49;27;22;35763
76;49;27;21;35763
77;45;24;21;35763
78;50;27;23;35763
79;47;26;21;35763
80;49;26;23;35763
81;47;26;21;35763
82;47;24;23;35763
83;50;26;23;35763
84;46;25;21;35763
85;48;27;21;35763
86;62;39;23;35763
87;48;26;21;35763
88;52;26;25;35763
89;46;24;21;35763
90;51;24;26;35763
91;46;23;22;35763
92;46;24;21;35763
93;48;27;21;35763
94;50;26;24;35763
95;50;28;22;35763
96;54;32;22;35763
97;50;27;23;35763
98;49;26;23;35763
99;52;30;21;35763
100;50;27;23;35763
101;50;28;21;35763
102;50;27;23;35763
103;50;26;23;35763
104;50;27;23;35763
105;51;28;22;35763
106;59;32;27;35763
107;66;36;30;35763
108;64;35;29;35763
109;64;33;30;35763
110;66;38;28;35763
111;58;33;24;35763
112;48;27;21;35763
113;53;29;24;35763
114;49;26;23;35763
115;46;24;21;35763
116;49;24;24;35763
117;49;26;23;35763
118;49;25;24;35763
119;48;25;23;35763
120;49;27;21;35763
121;50;27;23;35763
122;49;27;21;35763
123;47;24;22;35763
124;53;29;24;35763
125;49;26;23;35763
126;51;27;23;35763
127;50;26;24;35763
128;46;24;22;35763
129;48;27;21;35763
130;49;26;23;35763
131;47;24;22;35763
132;49;25;24;35763
133;50;27;23;35763
134;46;23;23;35763
135;49;27;22;35763
136;63;39;24;35763
137;48;25;22;35763
138;53;29;23;35763
139;50;27;23;35763
140;49;27;22;35763
141;50;27;23;35763
142;49;27;22;35763
143;50;27;23;35763
144;48;27;21;35763
145;50;27;22;35763
146;51;28;22;35763
147;49;27;22;35763
148;46;24;22;35763
149;47;24;23;35763
150;49;26;23;35763
151;46;24;22;35763
152;48;27;21;35763
153;50;27;23;35763
154;49;27;22;35763
155;49;27;22;35763
156;46;24;22;35763
157;48;24;24;35763
