tick;time;time_patch;time_drop;drops
0;127;77;50;44268
1;140;53;44.000000000000014;44268
2;142;56.00000000000001;41.99999999999998;43922
3;148;60.99999999999999;45;43605
4;141;51.99999999999999;38.99999999999999;43295
5;142;53;36.99999999999999;43005
6;157;68;36.00000000000001;42724
7;143;57;33.999999999999986;42462
8;138;56.99999999999999;34.000000000000014;42197
9;143;56;31.000000000000014;41949
10;143;59;31.000000000000014;41721
11;140;61;30.000000000000014;41499
12;154;63;31;41294
13;140;57.99999999999999;32.000000000000014;41097
14;137;60;27.00000000000001;40905
15;136;60;25.000000000000007;40718
16;138;63;27.00000000000001;40540
17;149;63;23.999999999999993;40369
18;139;61;29.00000000000001;40210
19;141;63;25.000000000000007;40070
20;137;62;23.000000000000007;39924
21;148;73;21.999999999999993;39782
22;141;65;24.000000000000007;39640
23;143;64;27.00000000000001;39501
24;139;63;22.000000000000007;39366
25;138;64;22.000000000000007;39227
26;152;69;21.999999999999993;39092
27;140;68;21.000000000000004;38954
28;148;67;21.999999999999993;38822
29;133;65;22.000000000000007;38698
30;146;75;18.99999999999999;38576
31;139;67;20.000000000000004;38467
32;137;69;20.000000000000004;38355
33;137;69;20.000000000000004;38239
34;136;67;19.000000000000004;38118
35;141;74.00000000000001;19.000000000000004;37996
36;139;71.00000000000001;19.000000000000004;37870
37;134;72.00000000000001;19.000000000000004;37743
38;138;69;21.000000000000004;37615
39;138;68;18.000000000000004;37488
40;143;66;17.000000000000014;37360
41;136;70;18.000000000000004;37234
42;139;71.00000000000001;17;37112
43;142;72.00000000000001;21.000000000000004;36995
44;143;77;16.000000000000014;36886
45;132;68;17;36779
46;137;73.00000000000001;17;36682
47;139;72;17.000000000000014;36589
48;136;72.00000000000001;19.000000000000004;36500
49;143;76;16.000000000000014;36412
50;133;69;16;36330
51;134;72.00000000000001;16;36257
52;129;74;18.000000000000004;36187
53;135;70;16;36117
54;136;67;16.000000000000014;36061
55;138;74;15.000000000000014;36010
56;142;75;16.000000000000014;35965
57;141;75;16.000000000000014;35926
58;144;79;13.999999999999984;35892
59;137;70;15;35864
60;134;74.00000000000001;15;35843
61;137;75.00000000000001;15;35825
62;134;73.00000000000001;17;35807
63;141;76;14.000000000000012;35793
64;134;72.00000000000001;15;35781
65;139;76;15.000000000000014;35773
66;135;75.00000000000001;15;35766
67;141;72.00000000000001;23.000000000000007;35764
68;129;68;15;35763
69;139;75;14.000000000000012;35763
70;136;74.00000000000001;13.999999999999998;35763
71;137;76;15.000000000000014;35763
72;140;78;14.000000000000012;35763
73;132;73.00000000000001;15;35763
74;134;75;14.000000000000012;35763
75;130;76.00000000000001;13.999999999999998;35763
76;139;72.00000000000001;19.000000000000004;35763
77;139;69;14.000000000000012;35763
78;138;74;14.000000000000012;35763
79;135;74;14.000000000000012;35763
80;140;76;14.000000000000012;35763
81;138;78.99999999999999;16.000000000000014;35763
82;132;71.00000000000001;13.999999999999998;35763
83;127;76;13.999999999999998;35763
84;138;77;13.00000000000001;35763
85;139;76;15.000000000000014;35763
86;135;77;13.00000000000001;35763
87;143;78;14.000000000000012;35763
88;146;76.00000000000001;13.999999999999984;35763
89;141;78;14.000000000000012;35763
90;148;86;11.999999999999982;35763
91;132;71.00000000000001;13.999999999999998;35763
92;131;74.00000000000001;12.999999999999998;35763
93;137;76;13.00000000000001;35763
