tick;time;time_patch;time_drop;drops;
0;417;84;331;164687;
1;12427;71;12059;164679;
2;5122;25;4824;112299;
3;2982;22;2733;87485;
4;1931;21;1703;70139;
5;1359;21;1146;57295;
6;1028;20;826;47568;
7;818;20;622;39992;
8;675;19;489;34012;
9;600;21;408;29204;
10;532;20;343;25321;
11;482;30;293;22114;
12;445;29;262;19482;
13;409;18;234;17298;
14;390;18;217;15440;
15;380;18;206;13850;
16;368;18;195;12473;
17;365;24;186;11309;
18;352;18;179;10308;
19;433;17;175;9462;
20;347;23;172;8738;
21;341;18;170;8108;
22;337;17;167;7560;
23;332;21;158;7071;
24;338;24;162;6639;
25;330;18;157;6255;
26;328;17;158;5908;
27;336;26;154;5587;
28;325;17;156;5304;
29;323;18;153;5048;
30;320;17;151;4818;
31;321;18;150;4609;
32;322;18;152;4416;
33;319;18;151;4245;
34;319;17;152;4086;
35;316;17;149;3940;
36;318;17;150;3806;
37;325;24;153;3680;
38;319;18;149;3565;
39;327;24;152;3457;
40;388;18;151;3363;
41;317;18;148;3276;
42;320;18;154;3195;
43;322;24;150;3123;
44;321;23;150;3055;
45;318;18;151;2991;
46;322;24;149;2935;
47;319;18;151;2880;
48;314;17;147;2827;
49;316;18;148;2777;
50;317;17;151;2731;
51;313;18;146;2689;
52;317;18;149;2651;
53;315;18;148;2613;
54;322;28;146;2576;
55;317;18;149;2541;
56;320;23;149;2508;
57;314;18;147;2478;
58;314;18;146;2450;
59;311;17;145;2424;
60;312;17;145;2398;
61;374;85;136;2374;
62;311;17;145;2351;
63;314;17;147;2329;
64;321;22;151;2307;
65;318;17;148;2286;
66;312;17;145;2265;
67;319;18;152;2246;
68;312;17;146;2227;
69;321;24;150;2208;
70;315;18;147;2190;
71;313;17;146;2173;
72;315;18;148;2157;
73;320;22;151;2141;
74;315;17;149;2125;
75;313;17;147;2109;
76;312;17;146;2093;
77;316;17;150;2077;
78;313;17;147;2063;
79;319;25;147;2049;
80;317;17;150;2035;
81;311;18;147;2021;
82;317;18;150;2008;
83;322;23;152;1996;
84;316;17;148;1985;
85;379;18;145;1974;
86;319;24;148;1964;
87;319;22;151;1955;
88;318;18;146;1946;
89;316;21;148;1938;
90;312;17;146;1930;
91;314;17;148;1923;
92;313;19;145;1916;
93;311;17;145;1909;
94;315;18;150;1902;
95;312;17;144;1895;
96;324;24;153;1888;
97;321;23;150;1882;
98;312;18;144;1877;
99;316;18;149;1872;
100;311;20;149;1868;
101;319;20;153;1864;
102;314;18;148;1860;
103;314;18;146;1856;
104;318;23;148;1852;
105;321;19;157;1848;
106;333;24;163;1844;
107;308;16;158;1840;
108;370;79;143;1836;
109;314;18;146;1833;
110;314;17;148;1830;
111;313;17;146;1827;
112;312;16;145;1824;
113;323;33;143;1821;
114;312;17;148;1818;
115;311;18;144;1815;
116;314;17;149;1812;
117;312;18;145;1809;
118;313;18;146;1807;
119;317;18;149;1805;
120;313;17;145;1803;
121;317;23;147;1801;
122;315;18;149;1799;
123;312;17;146;1797;
124;314;19;145;1796;
125;314;17;148;1795;
126;314;18;148;1794;
127;314;17;146;1793;
128;321;17;148;1792;
129;322;26;147;1791;
130;313;17;149;1790;
131;167;17;1;1789;
132;377;80;0;1789;
133;288;16;1;1789;
134;301;13;0;1789;
135;270;12;0;1789;
136;269;12;0;1789;
137;269;13;0;1789;
138;270;12;0;1789;
139;269;14;0;1789;
140;268;12;0;1789;
141;269;12;0;1789;
142;269;12;0;1789;
143;265;12;0;1789;
144;263;12;1;1789;
145;268;12;0;1789;
146;272;13;0;1789;
147;272;12;0;1789;
148;270;13;1;1789;
149;272;13;0;1789;
150;269;13;1;1789;
151;268;12;0;1789;
152;269;13;0;1789;
153;268;12;0;1789;
154;269;13;1;1789;
155;267;12;1;1789;
156;274;12;1;1789;
157;322;12;0;1789;
158;271;13;0;1789;
159;289;22;0;1789;
160;331;17;1;1789;
161;318;18;0;1789;
162;325;18;0;1789;
163;318;17;0;1789;
164;317;20;0;1789;
165;321;18;0;1789;
166;322;18;0;1789;
167;320;18;0;1789;
168;321;18;0;1789;
169;320;18;0;1789;
170;324;18;1;1789;
171;315;18;0;1789;
172;318;18;0;1789;
173;316;18;0;1789;
174;319;18;0;1789;
175;317;18;1;1789;
176;319;18;0;1789;
177;319;18;0;1789;
178;317;19;0;1789;
179;324;22;0;1789;
180;319;19;0;1789;
181;323;18;0;1789;
182;382;80;0;1789;
183;313;18;0;1789;
184;327;20;0;1789;
185;321;24;0;1789;
186;311;17;0;1789;
187;316;18;0;1789;
188;315;18;0;1789;
189;322;18;0;1789;
190;320;19;0;1789;
191;322;18;0;1789;
192;319;18;1;1789;
193;319;18;0;1789;
194;317;20;0;1789;
195;316;17;0;1789;
196;319;17;0;1789;
197;316;18;1;1789;
198;318;18;0;1789;
199;319;18;0;1789;
200;322;18;1;1789;
